Line Number	Scholia Being Compared and percentage of Words from the Small Schol in the Longer Schol
urn:cts:greekLit:tlg0012.tlg001.msA:1.105	msA.hmt:1.117 (29) vs msAil.hmt:1.357 (2): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.105	msA.hmt:1.117 (29) vs msAil.hmt:1.358 (4): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.105	msAil.hmt:1.358 (4) vs msAil.hmt:1.357 (2): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.115	msA.hmt:1.129 (108) vs msAil.hmt:1.364 (2): 2.0 (100.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.115	msA.hmt:1.129 (108) vs msAil.hmt:1.365 (3): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.115	msAil.hmt:1.365 (3) vs msAil.hmt:1.364 (2): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.116	msAim.hmt:1.139 (11) vs msAil.hmt:1.366 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.116	msAint.hmt:1.142 (8) vs msAil.hmt:1.366 (1): 1.0 (100.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.116	msAim.hmt:1.139 (11) vs msAint.hmt:1.142 (8): 1.0 (12.5%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.128	msA.hmt:1.416 (12) vs msA.hmt:1.415 (10): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.128	msA.hmt:1.415 (10) vs msAil.hmt:1.434 (2): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.128	msA.hmt:1.416 (12) vs msAil.hmt:1.434 (2): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.129	msA.hmt:1.417 (113) vs msA.hmt:1.418 (84): 29.0 (34.52%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.129	msA.hmt:1.417 (113) vs msAil.hmt:1.435 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.129	msA.hmt:1.418 (84) vs msAil.hmt:1.435 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.139	msA.hmt:1.424 (26) vs msAil.hmt:1.445 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.139	msA.hmt:1.424 (26) vs msAil.hmt:1.446 (3): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.139	msAil.hmt:1.446 (3) vs msAil.hmt:1.445 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.14	msA.hmt:1.14 (60) vs msAil.hmt:1.328 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.14	msA.hmt:1.14 (60) vs msAim.hmt:1.21 (7): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.14	msAim.hmt:1.21 (7) vs msAil.hmt:1.328 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.159	msA.hmt:1.480 (32) vs msAil.hmt:1.510 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.159	msA.hmt:1.480 (32) vs msAil.hmt:1.511 (6): 2.0 (33.33%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.159	msAil.hmt:1.511 (6) vs msAil.hmt:1.510 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.160	msA.hmt:1.481 (48) vs msA.hmt:1.482 (24): 7.0 (29.17%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.160	msA.hmt:1.481 (48) vs msAil.hmt:1.512 (3): 1.0 (33.33%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.160	msA.hmt:1.482 (24) vs msAil.hmt:1.512 (3): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.162	msAil.hmt:1.514 (1) vs msAil.hmt:1.515 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.162	msAint.hmt:1.503 (5) vs msAil.hmt:1.514 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.162	msAint.hmt:1.503 (5) vs msAil.hmt:1.515 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.168	msA.hmt:1.486 (44) vs msA.hmt:1.485 (19): 6.0 (31.58%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.168	msA.hmt:1.485 (19) vs msAil.hmt:1.520 (5): 1.0 (20.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.168	msA.hmt:1.486 (44) vs msAil.hmt:1.520 (5): 1.0 (20.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.169	msAim.hmt:1.499 (12) vs msAil.hmt:1.521 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.169	msAil.hmt:1.521 (1) vs msAint.hmt:1.504 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.169	msAim.hmt:1.499 (12) vs msAint.hmt:1.504 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.176	msA.hmt:1.550 (30) vs msAil.hmt:1.573 (1): 0.0 (0.0%)
