Line Number	Scholia Being Compared and percentage of Words from the Small Schol in the Longer Schol
urn:cts:greekLit:tlg0012.tlg001.msA:1.268	msA.hmt:1.729 (82) vs msA.hmt:1.730 (10): 1.0 (10.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.268	msA.hmt:1.729 (82) vs msA.hmt:1.731 (6): 1.0 (16.67%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.268	msA.hmt:1.729 (82) vs msAil.hmt:1.763 (5): 2.0 (40.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.268	msA.hmt:1.729 (82) vs msAil.hmt:1.764 (3): 1.0 (33.33%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.268	msA.hmt:1.729 (82) vs msAint.hmt:1.739 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.268	msA.hmt:1.730 (10) vs msA.hmt:1.731 (6): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.268	msA.hmt:1.730 (10) vs msAil.hmt:1.763 (5): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.268	msA.hmt:1.730 (10) vs msAil.hmt:1.764 (3): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.268	msA.hmt:1.730 (10) vs msAint.hmt:1.739 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.268	msA.hmt:1.731 (6) vs msAil.hmt:1.763 (5): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.268	msA.hmt:1.731 (6) vs msAil.hmt:1.764 (3): 1.0 (33.33%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.268	msA.hmt:1.731 (6) vs msAint.hmt:1.739 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.268	msAil.hmt:1.763 (5) vs msAil.hmt:1.764 (3): 0.0 (0.0%)
