urn:cts:greekLit:tlg5026.msA.hmt:1.1.comment	ζητέω μήνιδος ἄρχωXἔρδω δύσφημος ὄνομα δύο πρότεροςXπρῶτος πάθος ἀπκαταῥρεύσῃ μορέωXμόριονXμόριος ψυχάζωXψυχή προσεκτικός ἀκροατής μέγεθος ποίησιςXποιέω προσεθίζω φέρω γενναῖος ἐγώXἡμός πάθηXπάθος μέλλω πολλέμους ἀπαγγέλλω δεύτερος ἐγκώμιος ἕλλην πιθανός ποίησιςXποιέω μέλλω νικωντας ἀποφαίνω ἑλληνας εἰκότωςXἐοικότως κατατρέχω ἀξιόπιστος χαρίζομαιXχαρίζω κενόωXἐκεῖνος ἔπαινος ἄρχωXἔρδω μήνιδος ἐπείXἐπείπερ πρακτικός ὑπόθεσις γίγνομαι ἄλλῳς τραγῳδία τραγικός ἐξευρίσκω προοίμιον προσεκτικός ἐγώXἡμός ἀτύχημα διήγησις ἐργάζομαι ἄριστος ἰατρός πρότεροςXπρῶτος ἀναστέλλω νόσημα ψυχάζωXψυχή ὕστερονXὕστερος ΐασιν ἐπάγω ἑλληνικός τέλοςXτελέω ηδονὰς ἐπάγω ῾ϊστέον συκάζωXσυκῆ πρότεροςXπρῶτος όλυνθος εἶτα φίλιξ σύκον ϊσχάς πρότεροςXπρῶτος ὀργή θυμός χόλος κότος μῆνις ὁμόωXὅμως ποιητής συνώνυμος ὄνομα ἀχιλλεως χράομαιXχράωXχραύω ἢἐ χόλος παύω ἐρητύω θυμός ὄθομαι κοτάωXκοτέω μηνίωXμῆνις ναῦς
urn:cts:greekLit:tlg5026.msA.hmt:1.10.comment	ἀρίσταρχος συνάπτω πάρειμιXπαρόω φαίνω βουλεύς ἑλληνων χρονόωXχρόνος γίγνομαι μῆνις νέοςXνεώτερος πλάσμα δέχομαιXδείκνυμι
urn:cts:greekLit:tlg5026.msA.hmt:1.100.comment	πεφυλάγμενος δεισιδαίμων ὄρκος συμβαίνω ἀποθνήσκω ἀποδημέω ἀχιλλεως αἰκίζομαιXαἰκίζω μάντις ἐπανω προδίδωμι δέρκομαι βελτίων συνηθης ἀνάγνωσις
urn:cts:greekLit:tlg5026.msA.hmt:1.101.comment	τρόπος ὑπερβολη δεδηὼς σκέπτομαιXσκέπω μάντις θάρσυνοςXθαρσύνω ἀποκαλύπτω ἀχιλλεύς
urn:cts:greekLit:tlg5026.msA.hmt:1.102.comment	οξείαν σύνδεσμος ἐπιφέρω εγκλιτικός ταρ εὐχωλή συμπλεκτικός επεφέρετο πάλιν ἀποφασεως οὔτεXοὔτιXοὔτις εκατόμβης εὑρεσθαι σύνδεσμος ἀπόφασις οὔτε ἄναξ ἐπιδευής οὔτε ποιμήν
urn:cts:greekLit:tlg5026.msA.hmt:1.103.comment	ἀθετέω περισσός πρόκειμαι ἕνεκ ἀρητήρ
urn:cts:greekLit:tlg5026.msA.hmt:1.1031.comment	σέλευκος φημί κυπρίαXκύπριος κρητικός ρά φίλος θεαγένης προφέρω ἀπίθανος λίαν φίλος
urn:cts:greekLit:tlg5026.msA.hmt:1.1032.comment	αἰολικός ἄσσον ἀσσότερος ἀσσύτερος ὄνομα ὄνομα ἐπασσύτερος
urn:cts:greekLit:tlg5026.msA.hmt:1.1033.comment	ἀμφίβολος στιγμῆ μορέωXμόριονXμόριος ἀμφίβολος ὁμόωXὅμως ὑποτακτικός ἄρθρον μεταληπτέος
urn:cts:greekLit:tlg5026.msA.hmt:1.1034.comment	ἐοικεν πατρωνυμικός ὄνομα σχηματίζω ποιητής κυρίωςXκυριόωXκύριος ἄλλος ἀρχαῖος ἱστορέω ἀστυνόμη καλέω ἱπποδάμειαXἱπποδάμειον τρόπος ἀντωνομασία
urn:cts:greekLit:tlg5026.msA.hmt:1.1035.comment	ζηνόδοτος γράφοςXγράφω ἑός
urn:cts:greekLit:tlg5026.msA.hmt:1.1036.comment	ἀρίσταρχος εγκλιτικὴν παραλαμβάνω ἀντωνυμία λέγοςXλέγω δηλέομαι πολλάκις πατήρ δόμος ἀκούω καυχάομαι φημί ὀρθός τόνος ἀναγιγνώσκω νιρέως οίκοις αχιλλεὺς ἀκούω ἱστορία οἶδα ὅμηρος τοσοῦτος ἀρίσταρχος πτολεμαῖος συγκατατίθημι ἐγκλιτικός ἀνάγνωσιςXἀναγιγνώσκω μήνXμήςXμείς πρόκειμαι αἰτίαXαἴτιος ἤδηXἦδος ἀρίσταρχος φημί παραφυλάσσω πρωτότυπος οὔτως χράομαιXχράωXχραύω γενικός ἐγώXἐμέω ἐγώXἐμέω ἐγώXἐμέω μεθίημιXἐγώ ὁμοιόωXὁμοῖοςXὅμοιος δευτερόωXδεύτερος τρίτος κτητικός ἐγώXἐμέωXἐμός εμοῖο σέωXσεύωXσοῦXσόςXσύ σέωXσός γίγνομαι εἴπερ κτητικῆ σέωXσός κάν ορθοτονήσωμεν σέωXσύ δύναμαι ἀμφίβολος καθίστημι γραφὴ διελέγχω πρωτότυπος γίγνομαι ἐγκλιτικός ἀνάγνωσις ἁπλόος έχει ἀντιδιαστολή ἐπικρατέω ἀνάγνωσις
urn:cts:greekLit:tlg5026.msA.hmt:1.1037.comment	διπλόος στίχοςXστείχω ὑποδείδω ζηνόδοτος αθετεῖ βραχύς διασταλτέον αντωνυμίαν ἑξῆςXἔχω πολλάκις ἀκούω
urn:cts:greekLit:tlg5026.msA.hmt:1.1038.comment	διασταλτέον ευχομένης αμῦναι ἀθήνευςXἀθῆναι στιγμή ἐνδέχομαι λοιγός ἀμύνω στίζω ἄλλος ἄλλος προφέρω ἀρχή ἀθήνευςXἀθῆναι
urn:cts:greekLit:tlg5026.msA.hmt:1.1039.comment	μελαίνω ἀήρ νίφω
urn:cts:greekLit:tlg5026.msA.hmt:1.104.comment	λέγωXλέξις κωμανόν ἀεικής λοιγός όλεθρον ἀπεοικοτα ἀπεχθής ἀπρίατοςXἀπριάτην σαφής ἄνευXἄνω πρίαμαι ταὐτός δωρεά μασσααλιωτικὴ ριανοῦ χάωXχέωXἔχιςXἔχω τρόπος ἔοικα ζηνόδοτος ὅσγε πρίν λοιμός βαρύς χείρας ἀπέχωXἄφεξις
urn:cts:greekLit:tlg5026.msA.hmt:1.1040.comment	ζηνόδοτος γράφοςXγράφω φοιβος ἀπόλλων ἀφαιρέω πιθανός ἐπίτηδες ἔλλησι βοηθουντας
