urn:cts:greekLit:tlg5026.msA.hmt:1.1.comment	ζητέω διά τις_τίς_ ἀπό ὁ μήνιδος ἔρδω_ἄρχω_ οὕτως δύσφημος ὄνομα διά δύο οὗτος πρῶτος_πρότερος_ μέν ἵνα ἐκ τις_ὁ_τίς_ πάθος ἀπκαταῥρεύσῃ ὁ τοιοῦτος μορέω_μόριον_μόριος_ ὁ ψυχάζω_ψυχή_ καί προσεκτικός ὁ ἀκροατής ἐπί τις_ὁ_τίς_ μέγεθος ποιέω_ποίησις_ καί προσεθίζω φέρω γενναῖος ἡμός_ἐγώ_ τίς_ὁ_ πάθη_πάθος_ μέλλω πολλέμους ἀπαγγέλλω δεύτερος ἵνα τίς_ὁ_ ἐγκώμιος ὁ Ἕλλην πιθανός ποιέω_ποίησις_ ἐπεί δέ μέλλω νικωντας ἀποφαίνω ὁ Ἑλληνας ἐοικότως_εἰκότως_ οὐ κατατρέχω ἀξιόπιστος ἐκ τις_ὁ_τίς_ μή πᾶς χαρίζω_χαρίζομαι_ τῷ_ὁ_τίς_τις_ κενόω_ἐκεῖνος_ ἔπαινος ἔρδω_ἄρχω_ μέν ἀπό μήνιδος ἐπείπερ_ἐπεί_ οὗτος ὁ πρακτικός ὑπόθεσις γίγνομαι ἄλλῳς τε καί τραγῳδία τραγικός ἐξευρίσκω προοίμιον καί γάρ προσεκτικός ἡμός_ἐγώ_ ὁ ὁ ἀτύχημα διήγησις ἐργάζομαι καί ὡς ἄριστος ἰατρός πρῶτος_πρότερος_ ἀναστέλλω τίς_ὁ_ νόσημα ὁ ψυχάζω_ψυχή_ ὕστερον_ὕστερος_ ὁ ΐασιν ἐπάγω Ἑλληνικός δέ ὁ πρό τελέω_τέλος_ ὁ ηδονὰς ἐπάγω ῾ϊστέον δέ ὥσπερ ἐπί συκῆ_συκάζω_ πρῶτος_πρότερος_ μέν εἰμί όλυνθος εἶτα φίλιξ σύκον ϊσχάς οὕτως πρῶτος_πρότερος_ ὀργή θυμός χόλος κότος μῆνις ὁμόω_ὅμως_ ὁ ποιητής ὡς συνώνυμος ὄνομα ἐπί Ἀχιλλεως χραύω_χράω1_χράω2_χράομαι_ ἢἐ χόλος παύω ἐρητύω τε θυμός οὐδός1_οὐδός2_οὐδέ_ ὄθομαι κοτέω_κοτάω_ ἀτάρ ὁ μηνίω_μῆνις_ ναῦς
urn:cts:greekLit:tlg5026.msA.hmt:1.1.lemma	μῆνις ἀείδω
urn:cts:greekLit:tlg5026.msA.hmt:1.10.comment	Ἀρίσταρχος_ἀρίσταρχος_ συνάπτω ἵνα μή παρόω_πάρειμι1_ τις_τίς_ φαίνω βουλεύς καθά_καθό_κατά_ Ἑλληνων ἀλλά ἀπό οὐ χρονόω_χρόνος_ γίγνομαι ὁ μῆνις ἵνα μή τίς_ὁ_ πηρός_παρά_ ὁ νεώτερος_νέος_ πλάσμα δείκνυμι_δέχομαι_
urn:cts:greekLit:tlg5026.msA.hmt:1.10.lemma	Ζεύς δέ τελέω βουλή ἐκ οὐ δή τίς_ὁ_ πρῶτος_πρότερος_
urn:cts:greekLit:tlg5026.msA.hmt:1.100.comment	πεφυλάγμενος καί δεισιδαίμων ὁ ὄρκος συμβαίνω γάρ ἀποθνήσκω ἤ2_ἤ1_ ἀποδημέω Ἀχιλλεως αἰκίζω_αἰκίζομαι_ ὁ μάντις τις δέ ὁ σύ_σός_ ὁ ἐπανω προδίδωμι ἕ ἠμί_ἦ_εἰμί_ σύ_σός_ δέρκομαι βελτίων δέ ὁ συνηθης ἀνάγνωσις
urn:cts:greekLit:tlg5026.msA.hmt:1.100.lemma	οὐ τις ἐγώ_ἐμέω_ ζάω
urn:cts:greekLit:tlg5026.msA.hmt:1.101.comment	ὁ τρόπος ὑπερβολη ὅς_ὁ_ δεδηὼς σκέπω_σκέπτομαι_ ὁ μάντις οὗτος θαρσύνω_θάρσυνος_ ἀποκαλύπτω Ἀχιλλεύς
urn:cts:greekLit:tlg5026.msA.hmt:1.101.lemma	οὐδός1_οὐδός2_οὐδέ_ ὅς Ἀγαμέμνων
urn:cts:greekLit:tlg5026.msA.hmt:1.102.comment	οὕτως οξείαν ἐπί ὁ οὐ ὁ γάρ ἄρα εἰμί σύνδεσμος ἐπιφέρω εγκλιτικός ὡς καί ἐπί τις_ὁ_τίς_ εἰ ταρ ὁ_ὅς_ γε εὐχωλή οὐ γάρ εἰμί ὁ τε_σύ_ συμπλεκτικός εἰ γάρ ἤν_ἐάν_ επεφέρετο ἐάν_ἀνά_ἄν1_ἄν2_ πάλιν ὁ τε_σύ_ μετά ἀποφασεως οὔτε_οὔτις_οὔτι_ εκατόμβης οὕτως γάρ εἰμί εὑρεσθαι ὁ τε_σύ_ σύνδεσμος μετά ὁ οὐ ἀπόφασις2_ἀπόφασις1_ ἔνθα μέν οὔτε ἄναξ ἐπιδευής οὔτε τις ποιμήν
urn:cts:greekLit:tlg5026.msA.hmt:1.102.lemma	οὔταρ ὁ_ὅς_ γε εὐχωλή
