Scholia Type	Number of Scholia With Non-Direct Speech	Number of Scholia with no Non-Direct Speech	Number Of Scholia
StartIm	326	307	633
EndInt	79	173	252
StartInt	221	267	488
EndIm	207	253	460
---	---	---	---
Start Scholia	547	574	1121
End Scholia	286	426	712
Total Start and End	833	1000	1833
---	---	---	---
Im Scholia	533	560	1093
Int Scholia	300	440	740
Total Start and End	833	1000	1833
---	---	---	---
*Scholia Type*	*ChiSquare*	*Significance (p < 0.05, if χ2 > 3.841 for df = 1)*	---
StartIm EndIm	4.51	Statisically Significant	---
StartInt EndInt	13.39	Statisically Significant	---
StartIm StartInt	4.26	Statisically Significant	---
EndIm EndInt	12.62	Statisically Significant	---
StartIm EndInt	29.49	Statisically Significant	---
StartInt EndIm	0.01	Not Statistically Significant	---
Start End Data	13.07	Statisically Significant	---
Int Im Data	12.04	Statisically Significant	---
