Scholia with Lemma Urn,Supposed Lemma,Iliad Line commented On,Legitimacy
urn:cts:greekLit:tlg5026.msAim.hmt:2.389,"  εἴσαιτο:",urn:cts:greekLit:tlg0012.tlg001.msA:2.215,legitimate
urn:cts:greekLit:tlg5026.msAim.hmt:5.5005,"   Ἄϊδος κυνέην",urn:cts:greekLit:tlg0012.tlg001.msA:5.845,legitimate
urn:cts:greekLit:tlg5026.msAim.hmt:6.270,"  τῆ γ' ἔλθ'(οντες)",urn:cts:greekLit:tlg0012.tlg001.msA:6.435,illegitimate - should be a quote
urn:cts:greekLit:tlg5026.msAim.hmt:11.4,"  φθαν δὲ:",urn:cts:greekLit:tlg0012.tlg001.msA:11.51,legitimate - in the upper margin on a rather full page
urn:cts:greekLit:tlg5026.msAim.hmt:12.E1,"  ‡τυκτῇσι βοεσσι",urn:cts:greekLit:tlg0012.tlg001.msA:12.105,illegitimate - should be a quote
urn:cts:greekLit:tlg5026.msAim.hmt:15.26,"  καὶ κεῖνος,",urn:cts:greekLit:tlg0012.tlg001.msA:15.179,
urn:cts:greekLit:tlg5026.msAim.hmt:17.17,"  σχέτλι'",urn:cts:greekLit:tlg0012.tlg001.msA:17.150-17.151,
urn:cts:greekLit:tlg5026.msAint.hmt:2.332,"  ἀκούσαμεν:",urn:cts:greekLit:tlg0012.tlg001.msA:2.194,
urn:cts:greekLit:tlg5026.msAint.hmt:2.340,"   Θερσίτης :",urn:cts:greekLit:tlg0012.tlg001.msA:2.212,
urn:cts:greekLit:tlg5026.msAint.hmt:2.394,"  φολκὸς:",urn:cts:greekLit:tlg0012.tlg001.msA:2.217,
urn:cts:greekLit:tlg5026.msAint.hmt:2.395,"  ψεδνή:",urn:cts:greekLit:tlg0012.tlg001.msA:2.219,
urn:cts:greekLit:tlg5026.msAint.hmt:15.6,"  εμε δ' ουδ' ὡς θυμὸν,",urn:cts:greekLit:tlg0012.tlg001.msA:15.24,
urn:cts:greekLit:tlg5026.msAint.hmt:17.6,"  ἀρητόν",urn:cts:greekLit:tlg0012.tlg001.msA:17.37,
urn:cts:greekLit:tlg5026.msAint.hmt:17.20,"  τίη",urn:cts:greekLit:tlg0012.tlg001.msA:17.170,
urn:cts:greekLit:tlg5026.msAil.hmt:8.287,"  lemma",urn:cts:greekLit:tlg0012.tlg001.msA:8.428@εῶ[1],illegitimate
urn:cts:greekLit:tlg5026.msAext.hmt:3.743,"  ορωῶν",urn:cts:greekLit:tlg0012.tlg001.msA:3.325,legitimate - scholion needs reediting
urn:cts:greekLit:tlg5026.msAext.hmt:9.176,"  πολύρρηνες",urn:cts:greekLit:tlg0012.tlg001.msA:9.154,
urn:cts:greekLit:tlg5026.msAext.hmt:12.A1,"  ὀφρα μεν  Ἑκτωρ ζωὸς",urn:cts:greekLit:tlg0012.tlg001.msA:12.10-12.12,
