-	-	Most Frequent Occuring Words for Scholia Type	-	-
urn	name	Occurrences of Name in Scholia Type	Percentage of Name against Total Names Mentioned	Percentage of Name against Total Nummber of Words in Scholia Type
urn:cite:hmt:pers.pers16	Aristarchus	209	52.12%	2.69%
urn:cite:hmt:pers.pers15	Zenodotus	73	18.2%	0.94%
urn:cite:hmt:pers.pers21	Aristophanes	36	8.98%	0.46%
urn:cite:hmt:pers.pers75	Herodianus	7	1.75%	0.09%
urn:cite:hmt:pers.pers17	Homer	5	1.25%	0.06%
urn:cite:hmt:pers.pers22	Agamemnon	5	1.25%	0.06%
urn:cite:hmt:pers.pers215	Diomedes	3	0.75%	0.04%
urn:cite:hmt:pers.pers493	"Aelius Herodianus"	3	0.75%	0.04%
urn:cite:hmt:pers.pers8	Zeus	3	0.75%	0.04%
urn:cite:hmt:pers.pers118	Odysseus	2	0.5%	0.03%
urn:cite:hmt:pers.pers158	Patroclus	2	0.5%	0.03%
urn:cite:hmt:pers.pers167	Clio	2	0.5%	0.03%
urn:cite:hmt:pers.pers40	Apollo	2	0.5%	0.03%
urn:cite:hmt:pers.pers250	Ixion	2	0.5%	0.03%
urn:cite:hmt:pers.pers19	Thetis	2	0.5%	0.03%
urn:cite:hmt:pers.pers218	Alcimedon	2	0.5%	0.03%
urn:cite:hmt:pers.pers659	Themis	1	0.25%	0.01%
urn:cite:hmt:pers.pers216	Pandarus	1	0.25%	0.01%
urn:cite:hmt:pers.pers818	Alcimos	1	0.25%	0.01%
urn:cite:hmt:pers.pers37	Titans	1	0.25%	0.01%
urn:cite:hmt:pers.pers142	Aeneas	1	0.25%	0.01%
urn:cite:hmt:pers.pers44	Chryses	1	0.25%	0.01%
urn:cite:hmt:pers.pers482	Phobos	1	0.25%	0.01%
urn:cite:hmt:pers.pers33	Iphigenia	1	0.25%	0.01%
urn:cite:hmt:pers.pers340	Cronius	1	0.25%	0.01%
urn:cite:hmt:pers.pers98	Ptolemy	1	0.25%	0.01%
urn:cite:hmt:pers.pers486	Isos	1	0.25%	0.01%
urn:cite:hmt:pers.pers260	Oroandes	1	0.25%	0.01%
urn:cite:hmt:pers.pers159	Talthybius	1	0.25%	0.01%
urn:cite:hmt:pers.pers480	Polydamas	1	0.25%	0.01%
urn:cite:hmt:pers.pers195	Sarpedon	1	0.25%	0.01%
urn:cite:hmt:pers.pers515	Dolops	1	0.25%	0.01%
urn:cite:hmt:pers.pers1	Achilles	1	0.25%	0.01%
urn:cite:hmt:pers.pers283	Epaphroditus	1	0.25%	0.01%
urn:cite:hmt:pers.pers449	Amphitrite	1	0.25%	0.01%
urn:cite:hmt:pers.pers222	Thoas	1	0.25%	0.01%
urn:cite:hmt:pers.pers505	Alcathous	1	0.25%	0.01%
urn:cite:hmt:pers.pers71	Heracles	1	0.25%	0.01%
urn:cite:hmt:pers.pers589	Eurymedon	1	0.25%	0.01%
urn:cite:hmt:pers.pers112	Sosigenes	1	0.25%	0.01%
urn:cite:hmt:pers.pers479	Bienor	1	0.25%	0.01%
urn:cite:hmt:pers.pers116	Hera	1	0.25%	0.01%
urn:cite:hmt:pers.pers983	Eriopis	1	0.25%	0.01%
urn:cite:hmt:pers.pers567	Euterpe	1	0.25%	0.01%
urn:cite:hmt:pers.pers184	Peleus	1	0.25%	0.01%
urn:cite:hmt:pers.pers531	Agastrophus	1	0.25%	0.01%
urn:cite:hmt:pers.pers201	Hades	1	0.25%	0.01%
urn:cite:hmt:pers.pers127	Ajax	1	0.25%	0.01%
urn:cite:hmt:pers.pers160	Eurybates	1	0.25%	0.01%
urn:cite:hmt:pers.pers83	Ares	1	0.25%	0.01%
urn:cite:hmt:pers.pers117	Nestor	1	0.25%	0.01%
urn:cite:hmt:pers.pers277	Peteus	1	0.25%	0.01%
urn:cite:hmt:pers.pers1061	Phrontis	1	0.25%	0.01%
urn:cite:hmt:pers.pers172	Hector	1	0.25%	0.01%
urn:cite:hmt:pers.pers154	Elatus	1	0.25%	0.01%
urn:cite:hmt:pers.pers266	Stentor	1	0.25%	0.01%
urn:cite:hmt:pers.pers229	Odius	1	0.25%	0.01%
urn:cite:hmt:pers.pers139	Cronus	1	0.25%	0.01%
