-	-	Most Frequent Occuring Words for Scholia Type	-	-
urn	name	Occurrences of Name in Scholia Type	Percentage of Name against Total Names Mentioned	Percentage of Name against Total Nummber of Words in Scholia Type
urn:cite:hmt:pers.pers16	Aristarchus	300	7.59%	0.27%
urn:cite:hmt:pers.pers15	Zenodotus	285	7.21%	0.25%
urn:cite:hmt:pers.pers8	Zeus	204	5.16%	0.18%
urn:cite:hmt:pers.pers17	Homer	148	3.75%	0.13%
urn:cite:hmt:pers.pers1	Achilles	129	3.26%	0.11%
urn:cite:hmt:pers.pers172	Hector	77	1.95%	0.07%
urn:cite:hmt:pers.pers22	Agamemnon	74	1.87%	0.07%
urn:cite:hmt:pers.pers21	Aristophanes	70	1.77%	0.06%
urn:cite:hmt:pers.pers158	Patroclus	64	1.62%	0.06%
urn:cite:hmt:pers.pers118	Odysseus	62	1.57%	0.06%
urn:cite:hmt:pers.pers116	Hera	62	1.57%	0.06%
urn:cite:hmt:pers.pers67	Athena	57	1.44%	0.05%
urn:cite:hmt:pers.pers485	"Ptolemy of Ascalon"	46	1.16%	0.04%
urn:cite:hmt:pers.pers127	Ajax	46	1.16%	0.04%
urn:cite:hmt:pers.pers117	Nestor	46	1.16%	0.04%
urn:cite:hmt:pers.pers71	Heracles	45	1.14%	0.04%
urn:cite:hmt:pers.pers47	Poseidon	41	1.04%	0.04%
urn:cite:hmt:pers.pers215	Diomedes	40	1.01%	0.04%
urn:cite:hmt:pers.pers40	Apollo	40	1.01%	0.04%
urn:cite:hmt:pers.pers192	Hephaestus	38	0.96%	0.03%
urn:cite:hmt:pers.pers4	Hesiod	36	0.91%	0.03%
urn:cite:hmt:pers.pers105	Tyrannion	34	0.86%	0.03%
urn:cite:hmt:pers.pers83	Ares	30	0.76%	0.03%
urn:cite:hmt:pers.pers341	Alexion	26	0.66%	0.02%
urn:cite:hmt:pers.pers563	Orion	26	0.66%	0.02%
urn:cite:hmt:pers.pers75	Herodianus	23	0.58%	0.02%
urn:cite:hmt:pers.pers19	Thetis	23	0.58%	0.02%
urn:cite:hmt:pers.pers104	Hermes	22	0.56%	0.02%
urn:cite:hmt:pers.pers129	Paris	21	0.53%	0.02%
urn:cite:hmt:pers.pers312	Meleager	21	0.53%	0.02%
urn:cite:hmt:pers.pers175	Didymus	20	0.51%	0.02%
urn:cite:hmt:pers.pers6	Muse	20	0.51%	0.02%
urn:cite:hmt:pers.pers316	Daedalus	20	0.51%	0.02%
urn:cite:hmt:pers.pers493	"Aelius Herodianus"	19	0.48%	0.02%
urn:cite:hmt:pers.pers119	Menelaus	19	0.48%	0.02%
urn:cite:hmt:pers.pers86	Callimachus	18	0.46%	0.02%
urn:cite:hmt:pers.pers24	Pelops	18	0.46%	0.02%
urn:cite:hmt:pers.pers139	Cronus	18	0.46%	0.02%
urn:cite:hmt:pers.pers211	Dionysius	17	0.43%	0.02%
urn:cite:hmt:pers.pers123	Oceanus	17	0.43%	0.02%
urn:cite:hmt:pers.pers542	Ennomus	17	0.43%	0.02%
urn:cite:hmt:pers.pers216	Pandarus	16	0.4%	0.01%
urn:cite:hmt:pers.pers98	Ptolemy	16	0.4%	0.01%
urn:cite:hmt:pers.pers195	Sarpedon	16	0.4%	0.01%
urn:cite:hmt:pers.pers59	Dionysus	15	0.38%	0.01%
urn:cite:hmt:pers.pers310	Thersites	15	0.38%	0.01%
urn:cite:hmt:pers.pers247	Nicias	14	0.35%	0.01%
urn:cite:hmt:pers.pers184	Peleus	14	0.35%	0.01%
urn:cite:hmt:pers.pers88	Apollonius	14	0.35%	0.01%
urn:cite:hmt:pers.pers23	Atreus	13	0.33%	0.01%
urn:cite:hmt:pers.pers7	Antimachus	13	0.33%	0.01%
urn:cite:hmt:pers.pers194	Aphrodite	12	0.3%	0.01%
urn:cite:hmt:pers.pers97	Euripides	12	0.3%	0.01%
urn:cite:hmt:pers.pers5	Pindar	11	0.28%	0.01%
urn:cite:hmt:pers.pers204	Neleus	11	0.28%	0.01%
urn:cite:hmt:pers.pers142	Aeneas	11	0.28%	0.01%
urn:cite:hmt:pers.pers287	Idomeneus	11	0.28%	0.01%
urn:cite:hmt:pers.pers282	Iris	11	0.28%	0.01%
urn:cite:hmt:pers.pers94	Helen	11	0.28%	0.01%
urn:cite:hmt:pers.pers474	Dolon	11	0.28%	0.01%
urn:cite:hmt:pers.pers145	Priam	11	0.28%	0.01%
urn:cite:hmt:pers.pers483	Tithonos	11	0.28%	0.01%
urn:cite:hmt:pers.pers255	Pherecydes	11	0.28%	0.01%
urn:cite:hmt:pers.pers452	Rhesus	11	0.28%	0.01%
urn:cite:hmt:pers.pers39	Artemis	10	0.25%	0.01%
urn:cite:hmt:pers.pers201	Hades	10	0.25%	0.01%
urn:cite:hmt:pers.pers28	Thyestes	10	0.25%	0.01%
urn:cite:hmt:pers.pers300	Aristotle	9	0.23%	0.01%
urn:cite:hmt:pers.pers44	Chryses	9	0.23%	0.01%
urn:cite:hmt:pers.pers251	Tydeus	9	0.23%	0.01%
urn:cite:hmt:pers.pers225	Aeschylus	9	0.23%	0.01%
urn:cite:hmt:pers.pers89	Machaon	9	0.23%	0.01%
urn:cite:hmt:pers.pers611	Anacreon	9	0.23%	0.01%
urn:cite:hmt:pers.pers482	Phobos	8	0.2%	0.01%
urn:cite:hmt:pers.pers141	Philoxenus	8	0.2%	0.01%
urn:cite:hmt:pers.pers163	Aristonicus	8	0.2%	0.01%
urn:cite:hmt:pers.pers74	Calchas	8	0.2%	0.01%
urn:cite:hmt:pers.pers169	Pamphilus	8	0.2%	0.01%
urn:cite:hmt:pers.pers494	Ilos	8	0.2%	0.01%
urn:cite:hmt:pers.pers933	Ariadne	8	0.2%	0.01%
urn:cite:hmt:pers.pers48	Hippodamia	8	0.2%	0.01%
urn:cite:hmt:pers.pers327	Oeneus	7	0.18%	0.01%
urn:cite:hmt:pers.pers49	Oenomaus	7	0.18%	0.01%
urn:cite:hmt:pers.pers678	Herodicus	7	0.18%	0.01%
urn:cite:hmt:pers.pers76	Nicanor	7	0.18%	0.01%
urn:cite:hmt:pers.pers243	Teucer	7	0.18%	0.01%
urn:cite:hmt:pers.pers298	Myrtilus	7	0.18%	0.01%
urn:cite:hmt:pers.pers198	Minos	7	0.18%	0.01%
urn:cite:hmt:pers.pers69	Apollodorus	7	0.18%	0.01%
urn:cite:hmt:pers.pers181	Hebe	7	0.18%	0.01%
urn:cite:hmt:pers.pers498	Cisseus	7	0.18%	0.01%
urn:cite:hmt:pers.pers669	"Demetrius of Scepsis"	7	0.18%	0.01%
urn:cite:hmt:pers.pers280	Theseus	7	0.18%	0.01%
urn:cite:hmt:pers.pers906	Alcmene	7	0.18%	0.01%
urn:cite:hmt:pers.pers217	Automedon	7	0.18%	0.01%
urn:cite:hmt:pers.pers281	Ajax	7	0.18%	0.01%
urn:cite:hmt:pers.pers402	Cadmus	7	0.18%	0.01%
urn:cite:hmt:pers.pers131	Aeacus	6	0.15%	0.01%
urn:cite:hmt:pers.pers594	Augeas	6	0.15%	0.01%
urn:cite:hmt:pers.pers221	Parmeniscus	6	0.15%	0.01%
urn:cite:hmt:pers.pers180	Ganymedes	6	0.15%	0.01%
urn:cite:hmt:pers.pers464	Euphorbus	6	0.15%	0.01%
urn:cite:hmt:pers.pers29	Clytemnestra	6	0.15%	0.01%
urn:cite:hmt:pers.pers79	Laomedon	6	0.15%	0.01%
urn:cite:hmt:pers.pers178	Sophocles	6	0.15%	0.01%
urn:cite:hmt:pers.pers113	Briseis	6	0.15%	0.01%
urn:cite:hmt:pers.pers651	Molione	6	0.15%	0.01%
urn:cite:hmt:pers.pers323	"Dionysius of Sidonius"	6	0.15%	0.01%
