Iliad Line,Label,First Scholion,Second Scholion
urn:cts:greekLit:tlg0012.tlg001.msA:1.103,MainIm,urn:cts:greekLit:tlg5026.msA.hmt:1.116,urn:cts:greekLit:tlg5026.msAim.hmt:1.136
urn:cts:greekLit:tlg0012.tlg001.msA:1.110,MainIl,urn:cts:greekLit:tlg5026.msA.hmt:1.124,urn:cts:greekLit:tlg5026.msAil.hmt:1.361
urn:cts:greekLit:tlg0012.tlg001.msA:1.124,MainIl,urn:cts:greekLit:tlg5026.msA.hmt:1.134,urn:cts:greekLit:tlg5026.msAil.hmt:1.374
urn:cts:greekLit:tlg0012.tlg001.msA:1.136,MainIl,urn:cts:greekLit:tlg5026.msA.hmt:1.422,urn:cts:greekLit:tlg5026.msAil.hmt:1.440
urn:cts:greekLit:tlg0012.tlg001.msA:1.137,MainIl,urn:cts:greekLit:tlg5026.msA.hmt:1.423,urn:cts:greekLit:tlg5026.msAil.hmt:1.441
urn:cts:greekLit:tlg0012.tlg001.msA:1.140,ImIl,urn:cts:greekLit:tlg5026.msAil.hmt:1.447,urn:cts:greekLit:tlg5026.msAim.hmt:1.140
urn:cts:greekLit:tlg0012.tlg001.msA:1.142,IntIl,urn:cts:greekLit:tlg5026.msAil.hmt:1.448,urn:cts:greekLit:tlg5026.msAint.hmt:1.432
urn:cts:greekLit:tlg0012.tlg001.msA:1.147,MainIl,urn:cts:greekLit:tlg5026.msA.hmt:1.426,urn:cts:greekLit:tlg5026.msAil.hmt:1.449
urn:cts:greekLit:tlg0012.tlg001.msA:1.148,MainIl,urn:cts:greekLit:tlg5026.msA.hmt:1.427,urn:cts:greekLit:tlg5026.msAil.hmt:1.450
urn:cts:greekLit:tlg0012.tlg001.msA:1.153,MainIl,urn:cts:greekLit:tlg5026.msA.hmt:1.478,urn:cts:greekLit:tlg5026.msAil.hmt:1.507
urn:cts:greekLit:tlg0012.tlg001.msA:1.156,ImInt,urn:cts:greekLit:tlg5026.msAim.hmt:1.497,urn:cts:greekLit:tlg5026.msAint.hmt:1.502
urn:cts:greekLit:tlg0012.tlg001.msA:1.157,MainIl,urn:cts:greekLit:tlg5026.msA.hmt:1.484,urn:cts:greekLit:tlg5026.msAil.hmt:1.509
urn:cts:greekLit:tlg0012.tlg001.msA:1.171,MainInt,urn:cts:greekLit:tlg5026.msA.hmt:1.488,urn:cts:greekLit:tlg5026.msAint.hmt:1.505
urn:cts:greekLit:tlg0012.tlg001.msA:1.174,MainIl,urn:cts:greekLit:tlg5026.msA.hmt:1.494,urn:cts:greekLit:tlg5026.msAil.hmt:1.524
urn:cts:greekLit:tlg0012.tlg001.msA:1.184,ImExt,urn:cts:greekLit:tlg5026.msAext.hmt:1.564,urn:cts:greekLit:tlg5026.msAim.hmt:1.566
urn:cts:greekLit:tlg0012.tlg001.msA:1.19,MainIm,urn:cts:greekLit:tlg5026.msA.hmt:1.15,urn:cts:greekLit:tlg5026.msAim.hmt:1.23
urn:cts:greekLit:tlg0012.tlg001.msA:1.192,IntIl,urn:cts:greekLit:tlg5026.msAil.hmt:1.582,urn:cts:greekLit:tlg5026.msAint.hmt:1.570
urn:cts:greekLit:tlg0012.tlg001.msA:1.198,IntIl,urn:cts:greekLit:tlg5026.msAil.hmt:1.586,urn:cts:greekLit:tlg5026.msAint.hmt:1.572
urn:cts:greekLit:tlg0012.tlg001.msA:1.203,ImIl,urn:cts:greekLit:tlg5026.msAil.hmt:1.622,urn:cts:greekLit:tlg5026.msAim.hmt:1.612
urn:cts:greekLit:tlg0012.tlg001.msA:1.21,MainIl,urn:cts:greekLit:tlg5026.msA.hmt:1.16,urn:cts:greekLit:tlg5026.msAil.hmt:1.329
urn:cts:greekLit:tlg0012.tlg001.msA:1.212,MainInt,urn:cts:greekLit:tlg5026.msA.hmt:1.599,urn:cts:greekLit:tlg5026.msAint.hmt:1.618
urn:cts:greekLit:tlg0012.tlg001.msA:1.218,ImIl,urn:cts:greekLit:tlg5026.msAil.hmt:1.634,urn:cts:greekLit:tlg5026.msAim.hmt:1.614
urn:cts:greekLit:tlg0012.tlg001.msA:1.227,MainIl,urn:cts:greekLit:tlg5026.msA.hmt:1.653,urn:cts:greekLit:tlg5026.msAil.hmt:1.674
urn:cts:greekLit:tlg0012.tlg001.msA:1.232,MainIl,urn:cts:greekLit:tlg5026.msA.hmt:1.657,urn:cts:greekLit:tlg5026.msAil.hmt:1.680
urn:cts:greekLit:tlg0012.tlg001.msA:1.233,MainIl,urn:cts:greekLit:tlg5026.msA.hmt:1.658,urn:cts:greekLit:tlg5026.msAil.hmt:1.681
urn:cts:greekLit:tlg0012.tlg001.msA:1.240,ImIl,urn:cts:greekLit:tlg5026.msAil.hmt:1.687,urn:cts:greekLit:tlg5026.msAim.hmt:1.670
urn:cts:greekLit:tlg0012.tlg001.msA:1.260,MainIl,urn:cts:greekLit:tlg5026.msA.hmt:1.724,urn:cts:greekLit:tlg5026.msAil.hmt:1.757
urn:cts:greekLit:tlg0012.tlg001.msA:1.263,MainIl,urn:cts:greekLit:tlg5026.msA.hmt:1.726,urn:cts:greekLit:tlg5026.msAil.hmt:1.760
urn:cts:greekLit:tlg0012.tlg001.msA:1.270,MainIl,urn:cts:greekLit:tlg5026.msA.hmt:1.732,urn:cts:greekLit:tlg5026.msAil.hmt:1.767
urn:cts:greekLit:tlg0012.tlg001.msA:1.271,MainIm,urn:cts:greekLit:tlg5026.msA.hmt:1.861,urn:cts:greekLit:tlg5026.msAim.hmt:1.737
urn:cts:greekLit:tlg0012.tlg001.msA:1.276,IntIl,urn:cts:greekLit:tlg5026.msAil.hmt:1.774,urn:cts:greekLit:tlg5026.msAint.hmt:1.742
urn:cts:greekLit:tlg0012.tlg001.msA:1.295,ImIl,urn:cts:greekLit:tlg5026.msAil.hmt:1.830,urn:cts:greekLit:tlg5026.msAim.hmt:1.806
urn:cts:greekLit:tlg0012.tlg001.msA:1.298,MainInt,urn:cts:greekLit:tlg5026.msA.hmt:1.801,urn:cts:greekLit:tlg5026.msAint.hmt:1.809
urn:cts:greekLit:tlg0012.tlg001.msA:1.30,IntIl,urn:cts:greekLit:tlg5026.msAil.hmt:1.278,urn:cts:greekLit:tlg5026.msAint.hmt:1.55
urn:cts:greekLit:tlg0012.tlg001.msA:1.301,ImIl,urn:cts:greekLit:tlg5026.msAil.hmt:1.834,urn:cts:greekLit:tlg5026.msAim.hmt:1.807
urn:cts:greekLit:tlg0012.tlg001.msA:1.307,MainIl,urn:cts:greekLit:tlg5026.msA.hmt:1.864,urn:cts:greekLit:tlg5026.msAil.hmt:1.884
urn:cts:greekLit:tlg0012.tlg001.msA:1.312,MainIl,urn:cts:greekLit:tlg5026.msA.hmt:1.865,urn:cts:greekLit:tlg5026.msAil.hmt:1.890
urn:cts:greekLit:tlg0012.tlg001.msA:1.32,ImIl,urn:cts:greekLit:tlg5026.msAil.hmt:1.279,urn:cts:greekLit:tlg5026.msAim.hmt:1.47
urn:cts:greekLit:tlg0012.tlg001.msA:1.321,MainIl,urn:cts:greekLit:tlg5026.msA.hmt:1.869,urn:cts:greekLit:tlg5026.msAil.hmt:1.896
urn:cts:greekLit:tlg0012.tlg001.msA:1.323,MainIl,urn:cts:greekLit:tlg5026.msA.hmt:1.871,urn:cts:greekLit:tlg5026.msAil.hmt:1.897
urn:cts:greekLit:tlg0012.tlg001.msA:1.325,ImIl,urn:cts:greekLit:tlg5026.msAil.hmt:1.898,urn:cts:greekLit:tlg5026.msAim.hmt:1.876
urn:cts:greekLit:tlg0012.tlg001.msA:1.330,MainIl,urn:cts:greekLit:tlg5026.msA.hmt:1.928,urn:cts:greekLit:tlg5026.msAil.hmt:1.946
urn:cts:greekLit:tlg0012.tlg001.msA:1.336,MainIl,urn:cts:greekLit:tlg5026.msA.hmt:1.933,urn:cts:greekLit:tlg5026.msAil.hmt:1.954
urn:cts:greekLit:tlg0012.tlg001.msA:1.341,ImIl,urn:cts:greekLit:tlg5026.msAil.hmt:1.959,urn:cts:greekLit:tlg5026.msAim.hmt:1.940
urn:cts:greekLit:tlg0012.tlg001.msA:1.349,MainIl,urn:cts:greekLit:tlg5026.msA.hmt:1.938,urn:cts:greekLit:tlg5026.msAil.hmt:1.967
urn:cts:greekLit:tlg0012.tlg001.msA:1.356,IntIl,urn:cts:greekLit:tlg5026.msAil.hmt:1.1009,urn:cts:greekLit:tlg5026.msAint.hmt:1.1002
urn:cts:greekLit:tlg0012.tlg001.msA:1.358,MainIl,urn:cts:greekLit:tlg5026.msA.hmt:1.991,urn:cts:greekLit:tlg5026.msAil.hmt:1.1010
urn:cts:greekLit:tlg0012.tlg001.msA:1.36,ImIl,urn:cts:greekLit:tlg5026.msAil.hmt:1.284,urn:cts:greekLit:tlg5026.msAim.hmt:1.49
urn:cts:greekLit:tlg0012.tlg001.msA:1.361,MainIl,urn:cts:greekLit:tlg5026.msA.hmt:1.992,urn:cts:greekLit:tlg5026.msAil.hmt:1.1013
urn:cts:greekLit:tlg0012.tlg001.msA:1.368,MainIl,urn:cts:greekLit:tlg5026.msA.hmt:1.998,urn:cts:greekLit:tlg5026.msAil.hmt:1.1024
