Iliad Line,Label,First Scholion,Second Scholion,Third Scholion
urn:cts:greekLit:tlg0012.tlg001.msA:1.105,Main & Il,urn:cts:greekLit:tlg5026.msA.hmt:1.117,urn:cts:greekLit:tlg5026.msAil.hmt:1.357,urn:cts:greekLit:tlg5026.msAil.hmt:1.358
urn:cts:greekLit:tlg0012.tlg001.msA:1.115,Main & Il,urn:cts:greekLit:tlg5026.msA.hmt:1.129,urn:cts:greekLit:tlg5026.msAil.hmt:1.364,urn:cts:greekLit:tlg5026.msAil.hmt:1.365
urn:cts:greekLit:tlg0012.tlg001.msA:1.116,Im & Int & Il,urn:cts:greekLit:tlg5026.msAil.hmt:1.366,urn:cts:greekLit:tlg5026.msAim.hmt:1.139,urn:cts:greekLit:tlg5026.msAint.hmt:1.142
urn:cts:greekLit:tlg0012.tlg001.msA:1.128,Main & Il,urn:cts:greekLit:tlg5026.msA.hmt:1.415,urn:cts:greekLit:tlg5026.msA.hmt:1.416,urn:cts:greekLit:tlg5026.msAil.hmt:1.434
urn:cts:greekLit:tlg0012.tlg001.msA:1.129,Main & Il,urn:cts:greekLit:tlg5026.msA.hmt:1.417,urn:cts:greekLit:tlg5026.msA.hmt:1.418,urn:cts:greekLit:tlg5026.msAil.hmt:1.435
urn:cts:greekLit:tlg0012.tlg001.msA:1.139,Main & Il,urn:cts:greekLit:tlg5026.msA.hmt:1.424,urn:cts:greekLit:tlg5026.msAil.hmt:1.445,urn:cts:greekLit:tlg5026.msAil.hmt:1.446
urn:cts:greekLit:tlg0012.tlg001.msA:1.14,Main & Im & Il,urn:cts:greekLit:tlg5026.msA.hmt:1.14,urn:cts:greekLit:tlg5026.msAil.hmt:1.328,urn:cts:greekLit:tlg5026.msAim.hmt:1.21
urn:cts:greekLit:tlg0012.tlg001.msA:1.159,Main & Il,urn:cts:greekLit:tlg5026.msA.hmt:1.480,urn:cts:greekLit:tlg5026.msAil.hmt:1.510,urn:cts:greekLit:tlg5026.msAil.hmt:1.511
urn:cts:greekLit:tlg0012.tlg001.msA:1.160,Main & Il,urn:cts:greekLit:tlg5026.msA.hmt:1.481,urn:cts:greekLit:tlg5026.msA.hmt:1.482,urn:cts:greekLit:tlg5026.msAil.hmt:1.512
urn:cts:greekLit:tlg0012.tlg001.msA:1.162,Int & Il,urn:cts:greekLit:tlg5026.msAil.hmt:1.514,urn:cts:greekLit:tlg5026.msAil.hmt:1.515,urn:cts:greekLit:tlg5026.msAint.hmt:1.503
urn:cts:greekLit:tlg0012.tlg001.msA:1.168,Main & Il,urn:cts:greekLit:tlg5026.msA.hmt:1.485,urn:cts:greekLit:tlg5026.msA.hmt:1.486,urn:cts:greekLit:tlg5026.msAil.hmt:1.520
urn:cts:greekLit:tlg0012.tlg001.msA:1.169,Im & Int & Il,urn:cts:greekLit:tlg5026.msAil.hmt:1.521,urn:cts:greekLit:tlg5026.msAim.hmt:1.499,urn:cts:greekLit:tlg5026.msAint.hmt:1.504
urn:cts:greekLit:tlg0012.tlg001.msA:1.176,Main & Int & Il,urn:cts:greekLit:tlg5026.msA.hmt:1.550,urn:cts:greekLit:tlg5026.msAil.hmt:1.573,urn:cts:greekLit:tlg5026.msAint.hmt:1.568
urn:cts:greekLit:tlg0012.tlg001.msA:1.214,Im & Il,urn:cts:greekLit:tlg5026.msAil.hmt:1.629,urn:cts:greekLit:tlg5026.msAil.hmt:1.630,urn:cts:greekLit:tlg5026.msAim.hmt:1.613
urn:cts:greekLit:tlg0012.tlg001.msA:1.219,Main & Il,urn:cts:greekLit:tlg5026.msA.hmt:1.605,urn:cts:greekLit:tlg5026.msA.hmt:1.608,urn:cts:greekLit:tlg5026.msAil.hmt:1.635
urn:cts:greekLit:tlg0012.tlg001.msA:1.228,Main & Int & Il,urn:cts:greekLit:tlg5026.msA.hmt:1.654,urn:cts:greekLit:tlg5026.msAil.hmt:1.675,urn:cts:greekLit:tlg5026.msAint.hmt:1.672
urn:cts:greekLit:tlg0012.tlg001.msA:1.229,Main & Im & Il,urn:cts:greekLit:tlg5026.msA.hmt:1.655,urn:cts:greekLit:tlg5026.msAil.hmt:1.676,urn:cts:greekLit:tlg5026.msAim.hmt:1.669
urn:cts:greekLit:tlg0012.tlg001.msA:1.231,Main & Il,urn:cts:greekLit:tlg5026.msA.hmt:1.656,urn:cts:greekLit:tlg5026.msAil.hmt:1.678,urn:cts:greekLit:tlg5026.msAil.hmt:1.679
urn:cts:greekLit:tlg0012.tlg001.msA:1.239,Main & Il,urn:cts:greekLit:tlg5026.msA.hmt:1.662,urn:cts:greekLit:tlg5026.msAil.hmt:1.685,urn:cts:greekLit:tlg5026.msAil.hmt:1.686
urn:cts:greekLit:tlg0012.tlg001.msA:1.24,Im & Il & Ext,urn:cts:greekLit:tlg5026.msAext.hmt:1.26,urn:cts:greekLit:tlg5026.msAil.hmt:1.331,urn:cts:greekLit:tlg5026.msAim.hmt:1.24
urn:cts:greekLit:tlg0012.tlg001.msA:1.252,Main & Il,urn:cts:greekLit:tlg5026.msA.hmt:1.721,urn:cts:greekLit:tlg5026.msAil.hmt:1.745,urn:cts:greekLit:tlg5026.msAil.hmt:1.746
urn:cts:greekLit:tlg0012.tlg001.msA:1.258,Main & Im & Il,urn:cts:greekLit:tlg5026.msA.hmt:1.723,urn:cts:greekLit:tlg5026.msAil.hmt:1.755,urn:cts:greekLit:tlg5026.msAim.hmt:1.736
urn:cts:greekLit:tlg0012.tlg001.msA:1.26,Main & Im & Il,urn:cts:greekLit:tlg5026.msA.hmt:1.33,urn:cts:greekLit:tlg5026.msAil.hmt:1.274,urn:cts:greekLit:tlg5026.msAim.hmt:1.45
urn:cts:greekLit:tlg0012.tlg001.msA:1.264,Main & Il,urn:cts:greekLit:tlg5026.msA.hmt:1.727,urn:cts:greekLit:tlg5026.msA.hmt:1.728,urn:cts:greekLit:tlg5026.msAil.hmt:1.761
urn:cts:greekLit:tlg0012.tlg001.msA:1.269,Int & Il,urn:cts:greekLit:tlg5026.msAil.hmt:1.765,urn:cts:greekLit:tlg5026.msAil.hmt:1.766,urn:cts:greekLit:tlg5026.msAint.hmt:1.740
urn:cts:greekLit:tlg0012.tlg001.msA:1.277,Main & Im & Il,urn:cts:greekLit:tlg5026.msA.hmt:1.793,urn:cts:greekLit:tlg5026.msAil.hmt:1.811,urn:cts:greekLit:tlg5026.msAim.hmt:1.804
urn:cts:greekLit:tlg0012.tlg001.msA:1.294,Main & Il,urn:cts:greekLit:tlg5026.msA.hmt:1.800,urn:cts:greekLit:tlg5026.msAil.hmt:1.828,urn:cts:greekLit:tlg5026.msAil.hmt:1.829
urn:cts:greekLit:tlg0012.tlg001.msA:1.299,Main & Int,urn:cts:greekLit:tlg5026.msA.hmt:1.802,urn:cts:greekLit:tlg5026.msA.hmt:1.803,urn:cts:greekLit:tlg5026.msAint.hmt:1.810
urn:cts:greekLit:tlg0012.tlg001.msA:1.3,Im & Il,urn:cts:greekLit:tlg5026.msAil.hmt:1.322,urn:cts:greekLit:tlg5026.msAil.hmt:1.323,urn:cts:greekLit:tlg5026.msAim.hmt:1.18
urn:cts:greekLit:tlg0012.tlg001.msA:1.302,Main & Int & Il,urn:cts:greekLit:tlg5026.msA.hmt:1.862,urn:cts:greekLit:tlg5026.msAil.hmt:1.879,urn:cts:greekLit:tlg5026.msAint.hmt:1.877
urn:cts:greekLit:tlg0012.tlg001.msA:1.309,Im & Il,urn:cts:greekLit:tlg5026.msAil.hmt:1.886,urn:cts:greekLit:tlg5026.msAil.hmt:1.887,urn:cts:greekLit:tlg5026.msAim.hmt:1.875
urn:cts:greekLit:tlg0012.tlg001.msA:1.314,Main & Int & Il,urn:cts:greekLit:tlg5026.msA.hmt:1.866,urn:cts:greekLit:tlg5026.msAil.hmt:1.891,urn:cts:greekLit:tlg5026.msAint.hmt:1.878
urn:cts:greekLit:tlg0012.tlg001.msA:1.317,Main & Il,urn:cts:greekLit:tlg5026.msA.hmt:1.867,urn:cts:greekLit:tlg5026.msAil.hmt:1.894,urn:cts:greekLit:tlg5026.msAil.hmt:1.895
urn:cts:greekLit:tlg0012.tlg001.msA:1.335,Main & Il,urn:cts:greekLit:tlg5026.msA.hmt:1.932,urn:cts:greekLit:tlg5026.msAil.hmt:1.952,urn:cts:greekLit:tlg5026.msAil.hmt:1.953
urn:cts:greekLit:tlg0012.tlg001.msA:1.337,Main & Il,urn:cts:greekLit:tlg5026.msA.hmt:1.934,urn:cts:greekLit:tlg5026.msAil.hmt:1.955,urn:cts:greekLit:tlg5026.msAil.hmt:1.956
