Iliad Line,Label,First Scholion,Second Scholion,Third Scholion,Fourth Scholion
urn:cts:greekLit:tlg0012.tlg001.msA:1.113,Main & Il,urn:cts:greekLit:tlg5026.msA.hmt:1.125,urn:cts:greekLit:tlg5026.msA.hmt:1.126,urn:cts:greekLit:tlg5026.msAil.hmt:1.362,urn:cts:greekLit:tlg5026.msAil.hmt:1.363
urn:cts:greekLit:tlg0012.tlg001.msA:1.131,Main & Il,urn:cts:greekLit:tlg5026.msA.hmt:1.419,urn:cts:greekLit:tlg5026.msA.hmt:1.420,urn:cts:greekLit:tlg5026.msAil.hmt:1.436,urn:cts:greekLit:tlg5026.msAil.hmt:1.437
urn:cts:greekLit:tlg0012.tlg001.msA:1.175,Main & Im & Int,urn:cts:greekLit:tlg5026.msA.hmt:1.495,urn:cts:greekLit:tlg5026.msA.hmt:1.496,urn:cts:greekLit:tlg5026.msAim.hmt:1.501,urn:cts:greekLit:tlg5026.msAint.hmt:1.506
urn:cts:greekLit:tlg0012.tlg001.msA:1.189,Main & Il,urn:cts:greekLit:tlg5026.msA.hmt:1.555,urn:cts:greekLit:tlg5026.msA.hmt:1.556,urn:cts:greekLit:tlg5026.msA.hmt:1.557,urn:cts:greekLit:tlg5026.msAil.hmt:1.579
urn:cts:greekLit:tlg0012.tlg001.msA:1.204,Main & Int & Il,urn:cts:greekLit:tlg5026.msA.hmt:1.595,urn:cts:greekLit:tlg5026.msA.hmt:1.596,urn:cts:greekLit:tlg5026.msAil.hmt:1.623,urn:cts:greekLit:tlg5026.msAint.hmt:1.617
urn:cts:greekLit:tlg0012.tlg001.msA:1.220,Main & Il,urn:cts:greekLit:tlg5026.msA.hmt:1.606,urn:cts:greekLit:tlg5026.msA.hmt:1.607,urn:cts:greekLit:tlg5026.msAil.hmt:1.636,urn:cts:greekLit:tlg5026.msAil.hmt:1.637
urn:cts:greekLit:tlg0012.tlg001.msA:1.222,Main & Im & Il,urn:cts:greekLit:tlg5026.msA.hmt:1.609,urn:cts:greekLit:tlg5026.msA.hmt:1.610,urn:cts:greekLit:tlg5026.msAil.hmt:1.638,urn:cts:greekLit:tlg5026.msAim.hmt:1.615
urn:cts:greekLit:tlg0012.tlg001.msA:1.225,Int & Il,urn:cts:greekLit:tlg5026.msAil.hmt:1.641,urn:cts:greekLit:tlg5026.msAil.hmt:1.642,urn:cts:greekLit:tlg5026.msAil.hmt:1.643,urn:cts:greekLit:tlg5026.msAint.hmt:1.619
urn:cts:greekLit:tlg0012.tlg001.msA:1.249,Main & Im & Il,urn:cts:greekLit:tlg5026.msA.hmt:1.665,urn:cts:greekLit:tlg5026.msA.hmt:1.666,urn:cts:greekLit:tlg5026.msAil.hmt:1.694,urn:cts:greekLit:tlg5026.msAim.hmt:1.671
urn:cts:greekLit:tlg0012.tlg001.msA:1.251,Main & Im & Il,urn:cts:greekLit:tlg5026.msA.hmt:1.720,urn:cts:greekLit:tlg5026.msAil.hmt:1.743,urn:cts:greekLit:tlg5026.msAil.hmt:1.744,urn:cts:greekLit:tlg5026.msAim.hmt:1.735
urn:cts:greekLit:tlg0012.tlg001.msA:1.273,Main & Int & Il,urn:cts:greekLit:tlg5026.msA.hmt:1.734,urn:cts:greekLit:tlg5026.msAil.hmt:1.768,urn:cts:greekLit:tlg5026.msAil.hmt:1.769,urn:cts:greekLit:tlg5026.msAint.hmt:1.741
