urn:cts:greekLit:tlg0012.tlg001.msA:1.103	msA.hmt:1.116 vs msAim.hmt:1.136	11.11%
urn:cts:greekLit:tlg0012.tlg001.msA:1.110	msA.hmt:1.124 vs msAil.hmt:1.361	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.124	msA.hmt:1.134 vs msAil.hmt:1.374	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.136	msA.hmt:1.422 vs msAil.hmt:1.440	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.137	msA.hmt:1.423 vs msAil.hmt:1.441	33.33%
urn:cts:greekLit:tlg0012.tlg001.msA:1.140	msAil.hmt:1.447 vs msAim.hmt:1.140	25.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.142	msAil.hmt:1.448 vs msAint.hmt:1.432	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.147	msA.hmt:1.426 vs msAil.hmt:1.449	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.148	msA.hmt:1.427 vs msAil.hmt:1.450	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.153	msA.hmt:1.478 vs msAil.hmt:1.507	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.156	msAim.hmt:1.497 vs msAint.hmt:1.502	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.157	msA.hmt:1.484 vs msAil.hmt:1.509	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.171	msA.hmt:1.488 vs msAint.hmt:1.505	8.33%
urn:cts:greekLit:tlg0012.tlg001.msA:1.174	msA.hmt:1.494 vs msAil.hmt:1.524	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.184	msAext.hmt:1.564 vs msAim.hmt:1.566	16.67%
urn:cts:greekLit:tlg0012.tlg001.msA:1.19	msA.hmt:1.15 vs msAim.hmt:1.23	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.192	msAil.hmt:1.582 vs msAint.hmt:1.570	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.198	msAil.hmt:1.586 vs msAint.hmt:1.572	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.203	msAil.hmt:1.622 vs msAim.hmt:1.612	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.21	msA.hmt:1.16 vs msAil.hmt:1.329	25.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.212	msA.hmt:1.599 vs msAint.hmt:1.618	16.67%
urn:cts:greekLit:tlg0012.tlg001.msA:1.218	msAil.hmt:1.634 vs msAim.hmt:1.614	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.227	msA.hmt:1.653 vs msAil.hmt:1.674	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.232	msA.hmt:1.657 vs msAil.hmt:1.680	18.18%
urn:cts:greekLit:tlg0012.tlg001.msA:1.233	msA.hmt:1.658 vs msAil.hmt:1.681	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.240	msAil.hmt:1.687 vs msAim.hmt:1.670	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.260	msA.hmt:1.724 vs msAil.hmt:1.757	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.263	msA.hmt:1.726 vs msAil.hmt:1.760	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.270	msA.hmt:1.732 vs msAil.hmt:1.767	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.271	msA.hmt:1.861 vs msAim.hmt:1.737	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.276	msAil.hmt:1.774 vs msAint.hmt:1.742	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.295	msAil.hmt:1.830 vs msAim.hmt:1.806	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.298	msA.hmt:1.801 vs msAint.hmt:1.809	60.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.30	msAil.hmt:1.278 vs msAint.hmt:1.55	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.301	msAil.hmt:1.834 vs msAim.hmt:1.807	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.307	msA.hmt:1.864 vs msAil.hmt:1.884	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.312	msA.hmt:1.865 vs msAil.hmt:1.890	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.32	msAil.hmt:1.279 vs msAim.hmt:1.47	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.321	msA.hmt:1.869 vs msAil.hmt:1.896	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.323	msA.hmt:1.871 vs msAil.hmt:1.897	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.325	msAil.hmt:1.898 vs msAim.hmt:1.876	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.330	msA.hmt:1.928 vs msAil.hmt:1.946	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.336	msA.hmt:1.933 vs msAil.hmt:1.954	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.341	msAil.hmt:1.959 vs msAim.hmt:1.940	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.349	msA.hmt:1.938 vs msAil.hmt:1.967	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.356	msAil.hmt:1.1009 vs msAint.hmt:1.1002	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.358	msA.hmt:1.991 vs msAil.hmt:1.1010	100.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.36	msAil.hmt:1.284 vs msAim.hmt:1.49	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.361	msA.hmt:1.992 vs msAil.hmt:1.1013	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.368	msA.hmt:1.998 vs msAil.hmt:1.1024	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.383	msA.hmt:1.1032 vs msAil.hmt:1.1044	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.392	msA.hmt:1.1034 vs msAil.hmt:1.1045	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.4	msA.hmt:1.8 vs msAil.hmt:1.324	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.404	msA.hmt:1.1060 vs msAim.hmt:1.1072	16.67%
urn:cts:greekLit:tlg0012.tlg001.msA:1.412	msAil.hmt:1.1084 vs msAim.hmt:1.1073	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.418	msA.hmt:1.1064 vs msAil.hmt:1.1092	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.421-1.422	msA.hmt:1.1068 vs msAint.hmt:1.1077	83.33%
urn:cts:greekLit:tlg0012.tlg001.msA:1.436	msA.hmt:1.1124 vs msAil.hmt:1.1145	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.44	msAil.hmt:1.292 vs msAint.hmt:1.58	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.444	msAil.hmt:1.1146 vs msAint.hmt:1.1137	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.447	msA.hmt:1.1129 vs msAil.hmt:1.1147	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.454	msAil.hmt:1.1191 vs msAim.hmt:1.1188	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.470	msA.hmt:1.1184 vs msAint.hmt:1.1190	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.473	msA.hmt:1.1186 vs msAil.hmt:1.1201	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.482	msA.hmt:1.1228 vs msAil.hmt:1.1245	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.492	msAil.hmt:1.1252 vs msAint.hmt:1.1239	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.496	msA.hmt:1.1234 vs msAil.hmt:1.1255	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.5	msA.hmt:1.9 vs msAil.hmt:1.325	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.508	msA.hmt:1.1279 vs msAil.hmt:1.1296	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.512	msA.hmt:1.1280 vs msAil.hmt:1.1298	25.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.522	msA.hmt:1.1286 vs msAil.hmt:1.1309	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.524	msA.hmt:1.1287 vs msAil.hmt:1.1310	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.527	msA.hmt:1.1331 vs msAil.hmt:1.1350	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.53	msA.hmt:1.64 vs msAil.hmt:1.212	14.29%
urn:cts:greekLit:tlg0012.tlg001.msA:1.530	msA.hmt:1.1334 vs msAil.hmt:1.1355	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.534-1.535	msA.hmt:1.1337 vs msAim.hmt:1.1347	50.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.538	msA.hmt:1.1339 vs msAil.hmt:1.1360	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.539	msA.hmt:1.1340 vs msAil.hmt:1.1361	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.553	msA.hmt:1.1389 vs msAil.hmt:1.1410	14.29%
urn:cts:greekLit:tlg0012.tlg001.msA:1.556	msA.hmt:1.1392 vs msAint.hmt:1.1405	66.67%
urn:cts:greekLit:tlg0012.tlg001.msA:1.558	msA.hmt:1.1393 vs msAil.hmt:1.1414	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.564	msA.hmt:1.1394 vs msAim.hmt:1.1402	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.569	msA.hmt:1.1398 vs msAil.hmt:1.1417	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.570	msAil.hmt:1.1418 vs msAint.hmt:1.1408	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.576	msA.hmt:1.1401 vs msAil.hmt:1.1422	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.578	msAil.hmt:1.1459 vs msAim.hmt:1.1450	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.58	msA.hmt:1.65 vs msAint.hmt:1.89	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.590	msA.hmt:1.1442 vs msAil.hmt:1.1465	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.593	msA.hmt:1.1446 vs msAil.hmt:1.1468	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.594	msA.hmt:1.1447 vs msAil.hmt:1.1469	0.0%
