Line Number	Scholia Being Compared	Percentage of Words from the Small Schol in the Longer Schol
urn:cts:greekLit:tlg0012.tlg001.msA:1.105	msA.hmt:1.117 vs msAil.hmt:1.357	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.105	msA.hmt:1.117 vs msAil.hmt:1.358	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.105	msAil.hmt:1.357 vs msAil.hmt:1.358	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.115	msA.hmt:1.129 vs msAil.hmt:1.364	100.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.115	msA.hmt:1.129 vs msAil.hmt:1.365	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.115	msAil.hmt:1.364 vs msAil.hmt:1.365	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.116	msAil.hmt:1.366 vs msAim.hmt:1.139	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.116	msAil.hmt:1.366 vs msAint.hmt:1.142	100.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.116	msAim.hmt:1.139 vs msAint.hmt:1.142	12.5%
urn:cts:greekLit:tlg0012.tlg001.msA:1.128	msA.hmt:1.415 vs msA.hmt:1.416	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.128	msA.hmt:1.415 vs msAil.hmt:1.434	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.128	msA.hmt:1.416 vs msAil.hmt:1.434	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.129	msA.hmt:1.417 vs msA.hmt:1.418	34.52%
urn:cts:greekLit:tlg0012.tlg001.msA:1.129	msA.hmt:1.417 vs msAil.hmt:1.435	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.129	msA.hmt:1.418 vs msAil.hmt:1.435	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.139	msA.hmt:1.424 vs msAil.hmt:1.445	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.139	msA.hmt:1.424 vs msAil.hmt:1.446	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.139	msAil.hmt:1.445 vs msAil.hmt:1.446	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.14	msA.hmt:1.14 vs msAil.hmt:1.328	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.14	msA.hmt:1.14 vs msAim.hmt:1.21	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.14	msAil.hmt:1.328 vs msAim.hmt:1.21	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.159	msA.hmt:1.480 vs msAil.hmt:1.510	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.159	msA.hmt:1.480 vs msAil.hmt:1.511	33.33%
urn:cts:greekLit:tlg0012.tlg001.msA:1.159	msAil.hmt:1.510 vs msAil.hmt:1.511	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.160	msA.hmt:1.481 vs msA.hmt:1.482	29.17%
urn:cts:greekLit:tlg0012.tlg001.msA:1.160	msA.hmt:1.481 vs msAil.hmt:1.512	33.33%
urn:cts:greekLit:tlg0012.tlg001.msA:1.160	msA.hmt:1.482 vs msAil.hmt:1.512	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.162	msAil.hmt:1.514 vs msAil.hmt:1.515	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.162	msAil.hmt:1.514 vs msAint.hmt:1.503	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.162	msAil.hmt:1.515 vs msAint.hmt:1.503	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.168	msA.hmt:1.485 vs msA.hmt:1.486	31.58%
urn:cts:greekLit:tlg0012.tlg001.msA:1.168	msA.hmt:1.485 vs msAil.hmt:1.520	20.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.168	msA.hmt:1.486 vs msAil.hmt:1.520	20.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.169	msAil.hmt:1.521 vs msAim.hmt:1.499	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.169	msAil.hmt:1.521 vs msAint.hmt:1.504	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.169	msAim.hmt:1.499 vs msAint.hmt:1.504	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.176	msA.hmt:1.550 vs msAil.hmt:1.573	0.0%
