Line Number	Scholia Being Compared	Percentage of Words from the Small Schol in the Longer Schol
urn:cts:greekLit:tlg0012.tlg001.msA:1.113	msA.hmt:1.125 vs msA.hmt:1.126	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.113	msA.hmt:1.125 vs msAil.hmt:1.362	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.113	msA.hmt:1.125 vs msAil.hmt:1.363	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.113	msA.hmt:1.126 vs msAil.hmt:1.362	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.113	msA.hmt:1.126 vs msAil.hmt:1.363	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.113	msAil.hmt:1.362 vs msAil.hmt:1.363	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.131	msA.hmt:1.419 vs msA.hmt:1.420	8.33%
urn:cts:greekLit:tlg0012.tlg001.msA:1.131	msA.hmt:1.419 vs msAil.hmt:1.436	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.131	msA.hmt:1.419 vs msAil.hmt:1.437	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.131	msA.hmt:1.420 vs msAil.hmt:1.436	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.131	msA.hmt:1.420 vs msAil.hmt:1.437	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.131	msAil.hmt:1.436 vs msAil.hmt:1.437	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.175	msA.hmt:1.495 vs msA.hmt:1.496	16.67%
urn:cts:greekLit:tlg0012.tlg001.msA:1.175	msA.hmt:1.495 vs msAim.hmt:1.501	16.67%
urn:cts:greekLit:tlg0012.tlg001.msA:1.175	msA.hmt:1.495 vs msAint.hmt:1.506	36.36%
urn:cts:greekLit:tlg0012.tlg001.msA:1.175	msA.hmt:1.496 vs msAim.hmt:1.501	16.67%
urn:cts:greekLit:tlg0012.tlg001.msA:1.175	msA.hmt:1.496 vs msAint.hmt:1.506	27.27%
urn:cts:greekLit:tlg0012.tlg001.msA:1.175	msAim.hmt:1.501 vs msAint.hmt:1.506	18.18%
urn:cts:greekLit:tlg0012.tlg001.msA:1.189	msA.hmt:1.555 vs msA.hmt:1.556	12.9%
urn:cts:greekLit:tlg0012.tlg001.msA:1.189	msA.hmt:1.555 vs msA.hmt:1.557	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.189	msA.hmt:1.555 vs msAil.hmt:1.579	33.33%
urn:cts:greekLit:tlg0012.tlg001.msA:1.189	msA.hmt:1.556 vs msA.hmt:1.557	12.5%
urn:cts:greekLit:tlg0012.tlg001.msA:1.189	msA.hmt:1.556 vs msAil.hmt:1.579	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.189	msA.hmt:1.557 vs msAil.hmt:1.579	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.204	msA.hmt:1.595 vs msA.hmt:1.596	33.33%
urn:cts:greekLit:tlg0012.tlg001.msA:1.204	msA.hmt:1.595 vs msAil.hmt:1.623	50.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.204	msA.hmt:1.595 vs msAint.hmt:1.617	25.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.204	msA.hmt:1.596 vs msAil.hmt:1.623	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.204	msA.hmt:1.596 vs msAint.hmt:1.617	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.204	msAil.hmt:1.623 vs msAint.hmt:1.617	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.220	msA.hmt:1.606 vs msA.hmt:1.607	50.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.220	msA.hmt:1.606 vs msAil.hmt:1.636	25.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.220	msA.hmt:1.606 vs msAil.hmt:1.637	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.220	msA.hmt:1.607 vs msAil.hmt:1.636	25.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.220	msA.hmt:1.607 vs msAil.hmt:1.637	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.220	msAil.hmt:1.636 vs msAil.hmt:1.637	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.222	msA.hmt:1.609 vs msA.hmt:1.610	17.86%
urn:cts:greekLit:tlg0012.tlg001.msA:1.222	msA.hmt:1.609 vs msAil.hmt:1.638	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.222	msA.hmt:1.609 vs msAim.hmt:1.615	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.222	msA.hmt:1.610 vs msAil.hmt:1.638	33.33%
urn:cts:greekLit:tlg0012.tlg001.msA:1.222	msA.hmt:1.610 vs msAim.hmt:1.615	20.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.222	msAil.hmt:1.638 vs msAim.hmt:1.615	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.225	msAil.hmt:1.641 vs msAil.hmt:1.642	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.225	msAil.hmt:1.641 vs msAil.hmt:1.643	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.225	msAil.hmt:1.641 vs msAint.hmt:1.619	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.225	msAil.hmt:1.642 vs msAil.hmt:1.643	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.225	msAil.hmt:1.642 vs msAint.hmt:1.619	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.225	msAil.hmt:1.643 vs msAint.hmt:1.619	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.249	msA.hmt:1.665 vs msA.hmt:1.666	12.5%
urn:cts:greekLit:tlg0012.tlg001.msA:1.249	msA.hmt:1.665 vs msAil.hmt:1.694	11.11%
urn:cts:greekLit:tlg0012.tlg001.msA:1.249	msA.hmt:1.665 vs msAim.hmt:1.671	7.69%
urn:cts:greekLit:tlg0012.tlg001.msA:1.249	msA.hmt:1.666 vs msAil.hmt:1.694	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.249	msA.hmt:1.666 vs msAim.hmt:1.671	15.38%
urn:cts:greekLit:tlg0012.tlg001.msA:1.249	msAil.hmt:1.694 vs msAim.hmt:1.671	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.251	msA.hmt:1.720 vs msAil.hmt:1.743	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.251	msA.hmt:1.720 vs msAil.hmt:1.744	10.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.251	msA.hmt:1.720 vs msAim.hmt:1.735	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.251	msAil.hmt:1.743 vs msAil.hmt:1.744	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.251	msAil.hmt:1.743 vs msAim.hmt:1.735	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.251	msAil.hmt:1.744 vs msAim.hmt:1.735	12.5%
urn:cts:greekLit:tlg0012.tlg001.msA:1.273	msA.hmt:1.734 vs msAil.hmt:1.768	33.33%
urn:cts:greekLit:tlg0012.tlg001.msA:1.273	msA.hmt:1.734 vs msAil.hmt:1.769	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.273	msA.hmt:1.734 vs msAint.hmt:1.741	44.44%
urn:cts:greekLit:tlg0012.tlg001.msA:1.273	msAil.hmt:1.768 vs msAil.hmt:1.769	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.273	msAil.hmt:1.768 vs msAint.hmt:1.741	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.273	msAil.hmt:1.769 vs msAint.hmt:1.741	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.275	msAil.hmt:1.771 vs msAil.hmt:1.772	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.275	msAil.hmt:1.771 vs msAil.hmt:1.773	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.275	msAil.hmt:1.771 vs msAim.hmt:1.738	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.275	msAil.hmt:1.772 vs msAil.hmt:1.773	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.275	msAil.hmt:1.772 vs msAim.hmt:1.738	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.275	msAil.hmt:1.773 vs msAim.hmt:1.738	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.293	msA.hmt:1.799 vs msAil.hmt:1.826	0.0%
