Line Number	Scholia Being Compared and percentage of Words from the Small Schol in the Longer Schol
urn:cts:greekLit:tlg0012.tlg001.msA:1.120	msA.hmt:1.132 (121) vs msA.hmt:1.133 (15): 4.0 (26.67%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.120	msA.hmt:1.132 (121) vs msAil.hmt:1.370 (2): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.120	msA.hmt:1.132 (121) vs msAil.hmt:1.371 (4): 3.0 (75.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.120	msA.hmt:1.132 (121) vs msAil.hmt:1.372 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.120	msA.hmt:1.133 (15) vs msAil.hmt:1.370 (2): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.120	msA.hmt:1.133 (15) vs msAil.hmt:1.371 (4): 1.0 (25.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.120	msA.hmt:1.133 (15) vs msAil.hmt:1.372 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.120	msAil.hmt:1.371 (4) vs msAil.hmt:1.370 (2): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.120	msAil.hmt:1.370 (2) vs msAil.hmt:1.372 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.120	msAil.hmt:1.371 (4) vs msAil.hmt:1.372 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.216	msA.hmt:1.602 (49) vs msA.hmt:1.600 (22): 4.0 (18.18%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.216	msA.hmt:1.600 (22) vs msAil.hmt:1.631 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.216	msA.hmt:1.600 (22) vs msAil.hmt:1.632 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.216	msA.hmt:1.600 (22) vs msAil.hmt:1.633 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.216	msA.hmt:1.602 (49) vs msAil.hmt:1.631 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.216	msA.hmt:1.602 (49) vs msAil.hmt:1.632 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.216	msA.hmt:1.602 (49) vs msAil.hmt:1.633 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.216	msAil.hmt:1.631 (1) vs msAil.hmt:1.632 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.216	msAil.hmt:1.631 (1) vs msAil.hmt:1.633 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.216	msAil.hmt:1.632 (1) vs msAil.hmt:1.633 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.434	msA.hmt:1.1122 (22) vs msAil.hmt:1.1141 (2): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.434	msA.hmt:1.1122 (22) vs msAil.hmt:1.1142 (3): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.434	msA.hmt:1.1122 (22) vs msAil.hmt:1.1143 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.434	msA.hmt:1.1122 (22) vs msAim.hmt:1.1133 (2): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.434	msAil.hmt:1.1142 (3) vs msAil.hmt:1.1141 (2): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.434	msAil.hmt:1.1141 (2) vs msAil.hmt:1.1143 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.434	msAil.hmt:1.1141 (2) vs msAim.hmt:1.1133 (2): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.434	msAil.hmt:1.1142 (3) vs msAil.hmt:1.1143 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.434	msAil.hmt:1.1142 (3) vs msAim.hmt:1.1133 (2): 0.0 (0.0%)
