Line Number	Scholia Being Compared	Percentage of Words from the Small Schol in the Longer Schol
urn:cts:greekLit:tlg0012.tlg001.msA:1.268	msA.hmt:1.729 vs msA.hmt:1.730	10.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.268	msA.hmt:1.729 vs msA.hmt:1.731	16.67%
urn:cts:greekLit:tlg0012.tlg001.msA:1.268	msA.hmt:1.729 vs msAil.hmt:1.763	40.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.268	msA.hmt:1.729 vs msAil.hmt:1.764	33.33%
urn:cts:greekLit:tlg0012.tlg001.msA:1.268	msA.hmt:1.729 vs msAint.hmt:1.739	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.268	msA.hmt:1.730 vs msA.hmt:1.731	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.268	msA.hmt:1.730 vs msAil.hmt:1.763	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.268	msA.hmt:1.730 vs msAil.hmt:1.764	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.268	msA.hmt:1.730 vs msAint.hmt:1.739	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.268	msA.hmt:1.731 vs msAil.hmt:1.763	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.268	msA.hmt:1.731 vs msAil.hmt:1.764	33.33%
urn:cts:greekLit:tlg0012.tlg001.msA:1.268	msA.hmt:1.731 vs msAint.hmt:1.739	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.268	msAil.hmt:1.763 vs msAil.hmt:1.764	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.268	msAil.hmt:1.763 vs msAint.hmt:1.739	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.268	msAil.hmt:1.764 vs msAint.hmt:1.739	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.51	msA.hmt:1.61 vs msA.hmt:1.62	0.0%
