Line Number	Scholia Being Compared and percentage of Words from the Small Schol in the Longer Schol
urn:cts:greekLit:tlg0012.tlg001.msA:1.1	msA.hmt:1.1 (160) vs msA.hmt:1.2 (19): 5.0 (26.32%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.1	msA.hmt:1.1 (160) vs msA.hmt:1.3 (44): 9.0 (20.45%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.1	msA.hmt:1.1 (160) vs msA.hmt:1.4 (13): 3.0 (23.08%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.1	msA.hmt:1.1 (160) vs msA.hmt:1.5 (33): 13.0 (39.39%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.1	msA.hmt:1.3 (44) vs msA.hmt:1.2 (19): 1.0 (5.26%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.1	msA.hmt:1.2 (19) vs msA.hmt:1.4 (13): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.1	msA.hmt:1.5 (33) vs msA.hmt:1.2 (19): 5.0 (26.32%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.1	msA.hmt:1.3 (44) vs msA.hmt:1.4 (13): 3.0 (23.08%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.1	msA.hmt:1.3 (44) vs msA.hmt:1.5 (33): 5.0 (15.15%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.1	msA.hmt:1.5 (33) vs msA.hmt:1.4 (13): 2.0 (15.38%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.59	msA.hmt:1.67 (136) vs msA.hmt:1.66 (30): 7.0 (23.33%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.59	msA.hmt:1.66 (30) vs msA.hmt:1.68 (12): 2.0 (16.67%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.59	msA.hmt:1.66 (30) vs msAil.hmt:1.215 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.59	msA.hmt:1.66 (30) vs msAil.hmt:1.216 (3): 2.0 (66.67%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.59	msA.hmt:1.66 (30) vs msAil.hmt:1.217 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.59	msA.hmt:1.66 (30) vs msAim.hmt:1.84 (12): 0.0 (0.0%)
