ταυτολογεῖται	verb	ταυτολογέω
πέφαται	verb	θείνω
Ϊωνικώτερον	verb	ἀντιλαμβάνω
ἀντιλαμβάνονται	verb	ἐπιθυμέω
ανάγνωσις	verb	συντάσσω
ἐπιθυμεῖ	noun_preposition_preposition_	ὗς_ἐν_εἰς_
συντάττηται	verb	ἀναστρέφω
οὗν	noun	Στησίμβροτος
ἀναστρέφοντος	verb	ἐλεέω
Στησίμβροτος	verb	λυπέω
ἐπεντὶθέμενον	adjective	ἀμφιγύεις
ἐλεοῦσι	adjective	πᾶς
Ἀρίαδνῃ	adjective	προσηνής
λυπεῖσθαί	verb	κατά-ἀγάω
ἀμφιγυήεντος	pronoun	ὅδε
πᾶσά	verb	διαβοάω
δυσώπησιν	verb	φοβέω
Ϊλιον	pronoun_pronoun_	σύ_σφεῖς_
προσηνέσι	adjective	διορθωτέος
τώπω	verb	οὐτάζω
Διϊ	verb	ἀπαίρω
καταγῆν	verb	παροτρύνω
όψιν	verb_verb_	ἀμφί-ἀμφιέννυμι_ἀμφί-ἵημι_
τόδε	noun_noun_	φώς_φάος_
διαβοῆς	verb_verb_verb_	προθέω_προτίθημι_προθέω1_
ἐφοβοῦντο	adjective	εὐφραδής
σφῶϊν	adjective	Λακεδαιμόνιος
διορθωτέον	noun_noun_	Ὄδιος_Ὀδίος_
οὐτασμένοι	adjective	γνωτός
ἀπαίρουσιν	verb	συνάγω
παροτρύνειν	verb_verb_	πειράζω_πειράω_
ἠμφιέσθαι	verb	σημειόω
φωτὶ	verb	ἀρνέομαι
προθέῃσι	verb	ἐπιπλήσσω
εὐφραδέστερον	verb	κινέω
Λακεδαιμόνιοι	verb	ἐλλείπω
Ὀδίου	verb	κατηγορέω
γνωτὸν	verb	ὀρθόω
συναγαγεῖν	verb	γεννάω
πειρώμενος	noun	βότρυς
σεσημειωμένων	verb_noun_	ἰνόω_ἴνος_
Αγαμέμνονα	verb	ἐμπυρσεύω
ἀρνεῖται	verb	μονόω
ἐπέπληξεν	adjective	ἄμοιρος
κινοῦντος	noun	πούς
ἐλλείποντος	verb_verb_	πήσσω_πήγνυμι_
κατηγορήσασα	verb	ἐπί-ἐνήνοθε
ὀρθωθείς	verb	λυπέω
ἡδονη	verb	ἕπομαι
γεννᾶται	adjective	λεπτομερής
μηρον	noun	κόσμος
βότρυν	verb	πέλω
Περσων	noun	θώραξ
Ἴνῶ	noun	ἀγανάκτησις
ολέιται	verb_noun_	ἡττάω_ἧσσα_
ἐμπυρσεύεσθαι	pronoun	οὐδείς
ερχομένην	noun_noun_	λίς2_λίς1_
μόνωθεν	noun_adjective_	ἄκων_ἀέκων_
ἄμοιρος	verb	διεξέρχομαι
ἐνδέκατον	noun	χάσμα
ἔπω	noun	Φυλεΐδης
πόδα	noun	τέκνον
Ἀγαμεμνων	noun	εὐχή
πῆξε	adjective	πηδητικός
ἐπενήνοθε	adjective	θνητός
λυπεῖ	verb	ἄρχω
ἕπετ'	noun	κατόρθωμα
Ὀλυμπιος	adjective	ἴσος
λεπτομερέστατον	noun_verb_verb_	εὐνή_εὐνάω_εὐνάζω_
κόσμοῦ	verb_verb_	ποιόω_ποιέω_
Χαίριδι	adjective	λιτός
ἔπλεο	verb	ἀνακλίνω
θώραξι	verb	πρόκειμαι
ἀγανακτήσεως	adjective	μειλίχιος
Κίληκες	noun	Θέστιος
ἥττα	noun	ἔδαφος
οὐδενὸς	verb	κελεύω
λίς	adjective	ἀμείνων
ἐνωνοχόει	noun	νέκυς
εκπίπτει	verb	μεδέων
ἄκοντες	verb	σημαίνω
αγέμεν	adjective_adjective_	κράτιστος_κάρτιστος_
διεξέρχεται	verb	ἐπιπλήσσω
ποίούμενος	verb	γίγνομαι
χάσματι	verb	αἰτέω
Φυλείδην	noun	Δεῖμος
τέκνον	noun	ὄνος
εὐχή	verb_adjective_	ἀφοράω_ἄπορος_
πηδητικοῦ	adjective_noun_	εἰκοστός_εἰκοστή_
θνητοῦ	noun	χαρά
ῥῆξ	verb	βαρέω
ἄρχεσθαι	verb	θέω
βλαβης	noun	ἄνθρωπος
κατόρθωμα	noun	μεταπλασμός
ἴση	verb	φρονέω
εὐνῆς	verb	ποιέω
ποιῶμεν	adjective_adverb_	τέος_τέως_
λιτῷ	verb_adjective_	διπλάζω_διπλόος_
ἐλικώπιδα	preposition	ἐν
ἀνεκλίθη	adjective	ταχύς
προκεῖσθαι	adverb	ὄπισθεν
μειλίχιον	verb	φέρω
Θεστίου	adjective	θοός
ἔδαφος	verb	ἀναγιγνώσκω
κελεύοντες	verb	ἔρχομαι
ἀμείνονα	adjective	θεοπρόπος
νέκυος	adjective	τρεισκαιδέκατος
μεδέων	noun	ἰσχύς
σημαίνουσαι	verb_verb_	τιμέω_τιμάω_
κάρτιστον	noun_noun_	οὐρεύς_ὀρεύς_
ἐπιπλήσσειν	noun	πατήρ
Ήλιοι	adjective	βραχύς
γίνονται	verb	τελευτάω
αἰτησαμένη	adjective	διστακτικός
Ἔκτωρ	adjective	δολιχός
πρωτος	adjective	ἔντεχνος
ὑποτασσηται	verb	πρόσειμι1
Δεῖμος	adjective	βοώδης
ὄνος	noun	Τρώς
ὀκύμορος	verb	ἐπινηνέω
ἀχνυμενοί	verb	προβλέπω
Ἀπόρων	adjective_noun_noun_	μέσος_μέσης_μέση_
κρηναι	verb	ἀποπλέω
εἰκοστή	noun_noun_	ἆθλος_ἆθλον_
χαρᾷ	verb	συμφέρω
βαρουμένη	noun_noun_	ἔρις_Ἔρις_
θεῖς	verb	γιγνώσκω
ὑπερσυντελίκου	verb	ἐξεναρίζω
ἀνθρώπους	adjective	δυσχερής
μεταπλασμὸν	verb_verb_	ἄπειμι1_ἀφίημι_
φρονεῖν	adjective	ἀλλοιωτικός
πεποιημένῃ	verb	γνωρίζω
τέως	verb	αἱρέω
διπλᾶ	verb	διαφθείρω
ἐνί	verb	μετρέω
εσπερινόν	verb	βάλλω
πημελώδεις	verb	ἀφικνέομαι
εσί	verb	ὀφείλω
ταχείας	verb	ἐμβάλλω
ὄπισθε	verb	περιστρέφω
φερόμενος	adjective	χλωρός
θοὴν	noun	βοῦς
ἐμονωθ	verb	ἐποικοδομέω
ἀνεγίνωσκον	verb	διαιρέω
ἁπ	verb	κινδυνεύω
ἔλθητε	verb	βασιλεύω
ὤφελεια	adverb	τηλόθεν
θεοπρόπος	noun	πύργος
χoλον	adjective	ἔκθεσμος
τρεισκαιδέκατον	verb	κινέω
ἰσχὺν	verb_noun_	κατακοιμάω_κατακοίμησις_
εὔδους'	verb_verb_	ἀρτέομαι_ἀρτάω_
τιμῆσαι	noun_adjective_noun_	λευκάς_λευκός_λευκόν_
οὐρῆες	adjective	Τελαμών
πολυπληθ	verb_noun_	κομάω_κόμη_
Ωλενία	verb	ἡσυχάζω
δέχω	verb	πίπτω
πατέρες	adjective	ἀδιανόητος
βραχεία	noun	μυρίς
τελευτῶντες	noun_verb_noun_verb_	ἰός1_ἰόω_ἰός2_ἰόομαι_
διστακτικὸς	adverb	ἅδην
δολιχὴ	verb	συμπίτνω
ἐντέχνως	adjective	ἐννύχιος
προτῆς	verb_verb_	διανοέομαι_διανοέω_
βοώδης	verb	ἐμπίτνω
Τρωσὶν	conjunction	ὥστε
μαθηματικην	adjective	συγκριτικός
δώσῳ	verb	παροίχομαι
ἐπινήνεον	verb	φέρω
προεβλέψατο	verb	φιλονεικέω
μέσῃ	adjective	παρατατικός
ἀπέπλευσεν	verb	κιχάνω
ἄθλῶν	verb_verb_	λάσκω_λανθάνω_
παρειχον	noun	μείς
συμφέροντος	verb_verb_	χόω_χώομαι_
άλλας	verb	βασιλεύω
Ἔριδα	verb	ἵκω
απολεσθαι	verb_verb_	χολόομαι_χολόω_
γνοὺς	noun	ὀπή
ἀγαθον	noun	ἀρίσταρχος
πορρωθεν	verb_noun_	μένω_μένος_
ἐξενάριξεν	noun	ἀμφιέλισσα
όλα	adjective	μεγαλόφωνος
ἐρεισματα	pronoun_pronoun_	ἐγώγε_ἐγώ_
δυσχερῆ	adjective	ἀμφότερος
ἀπέην	noun_noun_	ἀρίσταρχος_Ἀρίσταρχος_
εξω	verb	αἱρέω
άνακτος	noun	Ἑλλάς
κάθηντα	verb	πεινέω
ἀλλοιωτικὴν	adjective	ἀπαγγελτικός
ποινῆ	verb	ἐπώχατο
γνωρίζων	noun	Ταύγετον
Ἁλιζόνων	verb	προβάλλω
φιλομ	adjective	ἐνεργής
ἑλόντε	adjective	παραποτάμιος
διαφθεῖραι	noun	ἀγέλη
μετρεῖ	verb	τρέπω
βληθείη	verb	σύγκειμαι
ἀφικνεῖται	verb	ἀοιδάω
ὀφειλομένοις	noun	Μυρμιδών
ἐπιδεξι'	verb	ὄμνυμι
ἐμβαλεῖν	verb	ψιλόω
απεκρούσθη	noun	βύρσα
περιστρέφοντος	noun	ἐξολκή
χλωρὸν	adjective	θρασύς
σεμέλης	adjective	βαθύς
βόεσσι	adjective	θεοειδής
ἐποικοδομεῖται	verb	ὁράω
διελὼν	noun_verb_	Ἐρινύς_ἐρινύω_
κινδυνεύοντα	noun_adjective_	πολυπῖδαξ_πολυπίδακος_
βασιλεύοντος	adjective	δεινός
ἄιδης	verb	ὑψόω
τηλόθεν	verb	καυχάομαι
πύργον	verb_noun_	ἔρχομαι_ἔλευσις_
ἔκθεσμον	noun	αὐλή
κινηθεὶς	verb_verb_	ἀφήκω_ἀφίημι_
κατακοιμήσει	verb	ὁρίζω
ἤρτηται	noun	συριγμός
καθαυτῶν	adjective	ἄσχημος
ροώδη	noun	θυγάτηρ
λευκὰ	verb	γιγνώσκω
Τελαμώνιον	noun_verb_	στρόμβος_στρομβόω_
κόμην	noun_noun_	Φόβος_φόβος_
ἡσυχάζειν	noun	ἔρως
πεσόντων	noun	λαός
ἐσωφρονισέν	verb_verb_numeral_verb_	τριάξω_τριάζω_τρεῖς_τρίζω_
ἀμφότερων	verb	τάσσω
ἀδιανόητον	verb_verb_	σοφίζω_σοφίζομαι_
μυρὶ	verb_verb_	ἵστημι_στάζω_
Ἡσιόδιον	verb	στερίσκω
ἰ¨οί	noun	μόχθος
ἐξεπίπτε	verb	ἐκπέρθω
ἄδην	adjective	ἀγανός
συμπεπτωκότε	adjective	φαίδιμος
ἐννύχιοι	verb	ὑίζω
διανοοῦ	adjective	παραδιαζευκτικός
Αντιμαχου	adjective	βαρύς
Πηλειδ	verb	εἰμί
ἐμπίπτειν	verb	μελαίνω
ϊλαρότητα	preposition	κατά
ὥτε	verb	βεβαιόω
συγκριτικῶ	noun	δεσπότης
παρῴχωκεν	adjective	κτητικός
φέρῃσι	noun	αὐγή
ἀρνέων	adjective	ποδώκης
ἱσοσυλλάβως	verb	βάλλω
σάῳς	noun	Θῆβαι
φιλονεικεῖν	adjective	ἑός
παρατατικός	adverb	οὔτοι
χείρες	adjective	δέκατος
κιχάνω	adjective	χρονικός
ἐλελήκει	noun	πόλεμος
μηνί	verb	ἐπείγω
χώσατο	verb	ὑποστρέφω
συναλιφὴνὴν	verb	συγκλείω
ἐβασίλευε	adjective	ἄπορος
ἵ̈κει	noun	Ἠλέκτρα
ἐχολοῦτο	noun	κλῆρος
ὀπή	noun_verb_	αὐλή_αὐλέω_
ἀρίσταρχος	noun_verb_	ἴτης_εἶμι_
μένει	verb	πιφαύσκω
ἀμφιέλισσαι	noun	ὀθόνιον
μεγαλόφωνον	verb_adjective_	κηκίω_κακός_
Εὐφορβος	adjective	αἰσχρός
μ᾽	verb_verb_	δέχομαι_δείκνυμι_
αϋ	verb	ἐνεργέω
διεταρραξεν	noun	Καλυδών
ἀμφοτέροις	verb_verb_	ἥκω_ἵημι_
Ἀριστάρχου	verb	ζώννυμι
ἕλωνται	verb	συντάσσω
Ἑλλάδι	verb	ἐκχέω
πεινοῦντος	article_pronoun_	ὁ_ὅς_
ἀπαγγελτικόν	noun	ἡμίονος
ἐπέσχε	verb	ἰσοδυναμέω
Ταύγετον	adjective	ἤπιος
Φεὰ	verb	ὑποτίθημι
προβαλλομένη	adjective_noun_	ὑπερῷος_ὑπερῷον_
ἐνεργὲς	noun	ἄναξ
παραποτάμιος	noun_noun_	ὁδός1_ὁδός2_
ἀγέλας	noun	πρᾶγμα
Ζευς	noun	πρυμνώρεια
τρέψαι	verb	παρακολουθέω
σύγκειται	verb	προέρχομαι
ἀοιδοῖ	verb	ἀγκάζομαι
Μυρμιδόνων	noun	χορδή
ὤμοσαν	verb	ἀλέω
ψιλοῦσαν	verb	δέρω
βυρσῶν	noun	Μαίων
ἐξολκὴν	adjective_noun_	ἕνος_εἷς_
θρασὺν	verb	ῥέω
βαθείας	adjective	ἀνεικής
θεοειδὴς	verb	ὑποπίπτω
ἀπείρηκται	noun	συμπλοκή
ὀφθείη	verb	εἰμί
Ἐρινύων	noun	ατος
πολυπίδακα	noun	Κάστωρ
δεινότατον	noun	χεῖλος
ὑψοῦτο	noun	Ἐλεφήνωρ
καυχήσεται	verb	ἐπάγω
ἐλεύσῃ	noun	ὀφθαλμός
αὐλάς	adjective	ζείδωρος
ἀφῆκε	verb	συλάω
ὁρισαίμεθα	noun	ἐπαλληλία
συριγμόν	verb	ἐναρίζω
ἀσχήμως	verb	ἀφύσσω
θύγατρα	adjective	βεβαιωτικός
γινωσκομένων	verb	νήφω
στρόμβου	noun	νόστος
Φόβῳ	verb_verb_	ἐλεέω_ἐλεάω_
ἔρωτι	adjective	πρόσφορος
λαοῖς	noun	χαρακτήρ
ἰματίων	verb	ἐπί-καταφέρω
τριῶν	verb	γράφω
τάττεσθαι	verb	ἀγνοέω
σοφισάμενοι	verb	ὑποτάσσω
δημηωριῶν	adjective	ἀρτίπους
στᾶσα	adjective	πᾶς
στερίσκεσθαι	verb	φέρω
μόχθον	pronoun	αὐτός
᾿ΐα	verb_verb_	ἄγω_ἄγαμαι_
ἐκπέρσειν	noun_noun_	ναῦς_Ναιάς_
ἱππηλασθαι	verb	ἀέξω
ἀγανοῦ	verb_verb_	δέμω_δαμάζω_
φαίδιμος	verb	ἄγχω
ὑιεῖ	pronoun	ὅς
ἀνδάγρια	adjective	κακός
παραδιαζευκτικοὶ	adjective	ταρφειός
έλους	adjective	περισσός
βαρεῖα	adjective	ἄφωνος
ἔντ'	verb	ὑπερπενθέω
μελαίνεται	noun	παρθενεία
κατ᾽	adjective_verb_	ἴσος_οἶδα_
ποτνιασθαι	noun	θαυμασμός
ορίζει	verb	κυνέω
βεβαιῶσαι	particle	δή
παρειληφεν	noun	τροχός
δεσπότην	noun_noun_	ποικιλία_ποικιλίας_
κτητικοῖς	noun	ἀσφάλεια
αὐγαῖς	noun_noun_	Διόνυσος_Διονύσος_
ποδώκὴς	noun	γύαλον
βεβλήαται	noun_adjective_	Ἀρηΐθοος_Ἀρηίθοος_
Θηβῶν	verb	ὑποστέλλω
ἑάων	noun	ἐκδικία
οὔτοι	adjective	ποθεινός
δεκάτῳ	verb	συμβουλεύω
χρονικὸν	noun	στιγμή
πόλεμός	adjective	τέλειος
ἐπείγει	noun	Διόνυσος
ὑποστρεψάντων	verb	φημί
μέχρη	noun	σῦριγξ
συνέκλεισαν	verb	τίθημι
ἄπορον	verb_verb_	γεγωνέω_γέγωνα_
Ἠλέκτραν	adjective_adjective_	ἀχρεῖος_ἀχρήιος_
κλῆρος	verb	περιθέω
αὐλῆς	verb	κικλήσκω
ἴτην	κατά-εἰμ_verb_	ὑπό_ὑπό-κάτειμι_
πίφαυσκον	verb_verb_	φύω_φύζω_
ὀθόνια	noun	κασίγνητος
κάκιον	noun	θάλασσα
