οὗν	noun_preposition_preposition_	ὗς_ἐν_εἰς_
σφῶϊν	pronoun_pronoun_	σύ_σφεῖς_
ἠμφιέσθαι	verb_verb_	ἀμφί-ἀμφιέννυμι_ἀμφί-ἵημι_
φωτὶ	noun_noun_	φώς_φάος_
προθέῃσι	verb_verb_verb_	προθέω_προτίθημι_προθέω1_
Ὀδίου	noun_noun_	Ὄδιος_Ὀδίος_
πειρώμενος	verb_verb_	πειράζω_πειράω_
Ἴνῶ	verb_noun_	ἰνόω_ἴνος_
πῆξε	verb_verb_	πήσσω_πήγνυμι_
ἥττα	verb_noun_	ἡττάω_ἧσσα_
λίς	noun_noun_	λίς2_λίς1_
ἄκοντες	noun_adjective_	ἄκων_ἀέκων_
εὐνῆς	noun_verb_verb_	εὐνή_εὐνάω_εὐνάζω_
ποιῶμεν	verb_verb_	ποιόω_ποιέω_
κάρτιστον	adjective_adjective_	κράτιστος_κάρτιστος_
Ἀπόρων	verb_adjective_	ἀφοράω_ἄπορος_
εἰκοστή	adjective_noun_	εἰκοστός_εἰκοστή_
τέως	adjective_adverb_	τέος_τέως_
διπλᾶ	verb_adjective_	διπλάζω_διπλόος_
τιμῆσαι	verb_verb_	τιμέω_τιμάω_
οὐρῆες	noun_noun_	οὐρεύς_ὀρεύς_
μέσῃ	adjective_noun_noun_	μέσος_μέσης_μέση_
ἄθλῶν	noun_noun_	ἆθλος_ἆθλον_
Ἔριδα	noun_noun_	ἔρις_Ἔρις_
ἀπέην	verb_verb_	ἄπειμι1_ἀφίημι_
κατακοιμήσει	verb_noun_	κατακοιμάω_κατακοίμησις_
ἤρτηται	verb_verb_	ἀρτέομαι_ἀρτάω_
λευκὰ	noun_adjective_noun_	λευκάς_λευκός_λευκόν_
κόμην	verb_noun_	κομάω_κόμη_
ἰ¨οί	noun_verb_noun_verb_	ἰός1_ἰόω_ἰός2_ἰόομαι_
διανοοῦ	verb_verb_	διανοέομαι_διανοέω_
ἐλελήκει	verb_verb_	λάσκω_λανθάνω_
χώσατο	verb_verb_	χόω_χώομαι_
ἐχολοῦτο	verb_verb_	χολόομαι_χολόω_
μένει	verb_noun_	μένω_μένος_
μ᾽	pronoun_pronoun_	ἐγώγε_ἐγώ_
Ἀριστάρχου	noun_noun_	ἀρίσταρχος_Ἀρίσταρχος_
Ἐρινύων	noun_verb_	Ἐρινύς_ἐρινύω_
πολυπίδακα	noun_adjective_	πολυπῖδαξ_πολυπίδακος_
ἐλεύσῃ	verb_noun_	ἔρχομαι_ἔλευσις_
ἀφῆκε	verb_verb_	ἀφήκω_ἀφίημι_
στρόμβου	noun_verb_	στρόμβος_στρομβόω_
Φόβῳ	noun_noun_	Φόβος_φόβος_
τριῶν	verb_verb_numeral_verb_	τριάξω_τριάζω_τρεῖς_τρίζω_
σοφισάμενοι	verb_verb_	σοφίζω_σοφίζομαι_
στᾶσα	verb_verb_	ἵστημι_στάζω_
αὐλῆς	noun_verb_	αὐλή_αὐλέω_
ἴτην	noun_verb_	ἴτης_εἶμι_
κάκιον	verb_adjective_	κηκίω_κακός_
δέξομαι	verb_verb_	δέχομαι_δείκνυμι_
ἧκεν	verb_verb_	ἥκω_ἵημι_
ἥ	article_pronoun_	ὁ_ὅς_
ὑπερῷον	adjective_noun_	ὑπερῷος_ὑπερῷον_
ὁδὲ	noun_noun_	ὁδός1_ὁδός2_
ἕνα	adjective_noun_	ἕνος_εἷς_
ἐλεήσας	verb_verb_	ἐλεέω_ἐλεάω_
ἄγω	verb_verb_	ἄγω_ἄγαμαι_
νηΐ	noun_noun_	ναῦς_Ναιάς_
δεδμήατο	verb_verb_	δέμω_δαμάζω_
ἴσας	adjective_verb_	ἴσος_οἶδα_
ποικιλίας	noun_noun_	ποικιλία_ποικιλίας_
Διονύσῳ	noun_noun_	Διόνυσος_Διονύσος_
Ἀρηΐθοος	noun_adjective_	Ἀρηΐθοος_Ἀρηίθοος_
γεγωνέμεν	verb_verb_	γεγωνέω_γέγωνα_
ἀχρήϊον	adjective_adjective_	ἀχρεῖος_ἀχρήιος_
ὑποκατιών	κατά-εἰμ_verb_	ὑπό_ὑπό-κάτειμι_
πέφυκε	verb_verb_	φύω_φύζω_
μαχέοιντο	verb_verb_verb_	μάχομαι_σέω_συμμαχέω_
γραφαί	noun_noun_	γραφής_γραφή_
Φρύγες	noun_verb_	Φρύξ_φρύγω_
σέλα	verb_noun_	σελάω_σέλας_
Χρύσιππος	noun_noun_	Χρυσίππος_Χρύσιππος_
Ἔρεβος	noun_noun_	ἔρεβος_Ἔρεβος_
χρέα	noun_noun_noun_	χρέος_χρῆ_χρέα_
πανουργότατον	adjective_adjective_	πάνουργος_πανοῦργος_
ἠελίου	noun_noun_	ἠέλιος_ἥλιος_
συζυγίας	adjective_noun_	συζύγιος_συζυγία_
