msA.hmt:1.1068 (12) vs msAint.hmt:1.1077 (12): 10.0 (83.33%)	Main & Int	msA.hmt:1.1068 (12) vs msAint.hmt:1.1077 (12): 10.0 (83.33%)
msA.hmt:1.1392 (9) vs msAint.hmt:1.1405 (9): 6.0 (66.67%)	Main & Int	msA.hmt:1.1392 (9) vs msAint.hmt:1.1405 (9): 6.0 (66.67%)
msA.hmt:1.94 (58) vs msAim.hmt:1.109 (15): 4.0 (26.67%)	Main & Im	msA.hmt:1.94 (58) vs msAim.hmt:1.109 (15): 4.0 (26.67%)
msA.hmt:10.12 (40) vs msAint.hmt:10.33 (7): 6.0 (85.71%)	Main & Int	msA.hmt:10.12 (40) vs msAint.hmt:10.33 (7): 6.0 (85.71%)
msA.hmt:10.1526 (16) vs msAim.hmt:10.1533 (12): 9.0 (75.0%)	Main & Im	msA.hmt:10.1526 (16) vs msAim.hmt:10.1533 (12): 9.0 (75.0%)
msA.hmt:10.4636 (99) vs msAim.hmt:10.4644 (13): 6.0 (46.15%)	Main & Im	msA.hmt:10.4636 (99) vs msAim.hmt:10.4644 (13): 6.0 (46.15%)
msA.hmt:10.4656 (8) vs msAint.hmt:10.4666 (8): 5.0 (62.5%)	Main & Int	msA.hmt:10.4656 (8) vs msAint.hmt:10.4666 (8): 5.0 (62.5%)
msA.hmt:11.109 (48) vs msAim.hmt:11.25 (14): 12.0 (85.71%)	Main & Im	msA.hmt:11.109 (48) vs msAim.hmt:11.25 (14): 12.0 (85.71%)
msAint.hmt:11.12 (9) vs msAext.hmt:11.6 (6): 6.0 (100.0%)	Int & Ext	msAint.hmt:11.12 (9) vs msAext.hmt:11.6 (6): 6.0 (100.0%)
msA.hmt:11.19 (6) vs msAint.hmt:11.5 (6): 4.0 (66.67%)	Main & Int	msA.hmt:11.19 (6) vs msAint.hmt:11.5 (6): 4.0 (66.67%)
msA.hmt:11.30 (28) vs msAim.hmt:11.6 (9): 7.0 (77.78%)	Main & Im	msA.hmt:11.30 (28) vs msAim.hmt:11.6 (9): 7.0 (77.78%)
