Line Number	Scholia Being Compared and percentage of Words from the Small Schol in the Longer Schol
urn:cts:greekLit:tlg0012.tlg001.msA:1.113	msA.hmt:1.125 (15) vs msA.hmt:1.126 (9): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.113	msA.hmt:1.125 (15) vs msAil.hmt:1.362 (2): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.113	msA.hmt:1.125 (15) vs msAil.hmt:1.363 (2): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.113	msA.hmt:1.126 (9) vs msAil.hmt:1.362 (2): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.113	msA.hmt:1.126 (9) vs msAil.hmt:1.363 (2): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.113	msAil.hmt:1.362 (2) vs msAil.hmt:1.363 (2): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.131	msA.hmt:1.420 (22) vs msA.hmt:1.419 (12): 1.0 (8.33%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.131	msA.hmt:1.419 (12) vs msAil.hmt:1.436 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.131	msA.hmt:1.419 (12) vs msAil.hmt:1.437 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.131	msA.hmt:1.420 (22) vs msAil.hmt:1.436 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.131	msA.hmt:1.420 (22) vs msAil.hmt:1.437 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.131	msAil.hmt:1.436 (1) vs msAil.hmt:1.437 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.175	msA.hmt:1.495 (43) vs msA.hmt:1.496 (24): 4.0 (16.67%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.175	msA.hmt:1.495 (43) vs msAim.hmt:1.501 (18): 3.0 (16.67%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.175	msA.hmt:1.495 (43) vs msAint.hmt:1.506 (11): 4.0 (36.36%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.175	msA.hmt:1.496 (24) vs msAim.hmt:1.501 (18): 3.0 (16.67%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.175	msA.hmt:1.496 (24) vs msAint.hmt:1.506 (11): 3.0 (27.27%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.175	msAim.hmt:1.501 (18) vs msAint.hmt:1.506 (11): 2.0 (18.18%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.189	msA.hmt:1.556 (42) vs msA.hmt:1.555 (31): 4.0 (12.9%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.189	msA.hmt:1.555 (31) vs msA.hmt:1.557 (8): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.189	msA.hmt:1.555 (31) vs msAil.hmt:1.579 (3): 1.0 (33.33%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.189	msA.hmt:1.556 (42) vs msA.hmt:1.557 (8): 1.0 (12.5%)
